,wifi_a,wifi_b,count,distance,meanTime,maxSpeed
1,80498.0,120.0,2.0,44.4,2.0,22.2
2,80498.0,32.0,9.0,45.04,277.77777777777777,15.013333333333334
3,32.0,99.0,2.0,27.73,6.5,5.546
4,32.0,84.0,3.0,57.42,14.666666666666666,14.355
5,80498.0,84.0,1.0,101.97,1.0,101.97
6,80498.0,13.0,2.0,179.85,2.0,89.925
7,80498.0,99.0,2.0,17.63,145.5,5.876666666666666
0,85873.0,40303.0,14.0,41.77,51.92857142857143,20.885
1,85873.0,22.0,6.0,115.6,198.83333333333334,14.45
2,85873.0,49.0,2.0,75.53,28416.0,0.41048913043478263
0,14488.0,88.0,216.0,64.41,293.93055555555554,128.82
1,14488.0,13.0,11.0,87.19,4.090909090909091,87.19
2,13.0,22.0,1.0,223.94,2.0,111.97
3,22.0,14488.0,8.0,141.76,5.0,47.25333333333333
4,14488.0,120.0,3.0,56.68,3.3333333333333335,113.36
5,22.0,32.0,1.0,88.88,0.0,177.76
6,32.0,120.0,1.0,54.21,5.0,10.842
7,14488.0,32.0,10.0,76.32,9.2,25.439999999999998
8,14488.0,84.0,2.0,77.12,1.5,154.24
0,80412.0,92.0,6.0,149.66,12.833333333333334,29.932
1,80412.0,13.0,5.0,33.55,22.8,8.3875
2,80412.0,5.0,4.0,80.82,263.5,20.205
3,5.0,13.0,1.0,114.24,0.0,228.48
4,80412.0,99.0,1.0,137.15,1.0,137.15
5,99.0,5.0,1.0,59.06,3.0,19.686666666666667
0,84.0,49.0,12.0,60.58,245.33333333333334,1.0817857142857144
1,84.0,101.0,2.0,29.03,6.5,9.676666666666668
2,84.0,99.0,1.0,84.36,37.0,2.28
3,99.0,120.0,1.0,40.56,4.0,10.14
4,120.0,22.0,1.0,86.98,1.0,86.98
5,22.0,49.0,1.0,190.46,68440.0,0.002782875511396844
0,95.0,88.0,6.0,53.3,1835.8333333333333,53.3
1,95.0,5.0,4.0,39.38,16877.75,9.845
2,95.0,49.0,4.0,55.08,673.0,5.508
3,49.0,88.0,1.0,82.73,9.0,9.192222222222222
4,49.0,5.0,1.0,73.03,2.0,36.515
5,5.0,88.0,1.0,91.38,6.0,15.229999999999999
0,35862.0,88.0,8.0,74.79,382.375,74.79
1,88.0,92.0,2.0,149.17,1695.0,0.2203397341211226
2,35862.0,17885.0,18.0,30.0,4.444444444444445,60.0
3,35862.0,92.0,16.0,170.48,10.1875,340.96
4,35862.0,13.0,14.0,97.28,7.214285714285714,97.28
5,17885.0,92.0,2.0,168.36,1.5,168.36
0,11112.0,5.0,8.0,93.96,3.0,187.92
0,68447.0,88.0,11.0,91.33,262.0,30.44333333333333
1,88.0,5.0,1.0,91.38,7.0,13.054285714285713
2,5.0,68447.0,3.0,6.43,40.0,2.143333333333333
3,68447.0,99.0,6.0,56.97,1220.0,11.394
4,68447.0,120.0,8.0,38.39,82.125,9.5975
0,95.0,15246.0,5.0,63.73,298.0,12.745999999999999
1,95.0,84.0,6.0,76.73,342.6666666666667,12.788333333333334
2,84.0,15246.0,2.0,53.1,6.5,53.1
3,15246.0,99.0,2.0,38.53,612.0,3.502727272727273
0,886.0,32.0,10.0,62.63,6.1,62.63
1,886.0,120.0,4.0,69.7,123.5,6.970000000000001
0,61695.0,88.0,12.0,71.29,59.75,71.29
1,61695.0,13.0,2.0,92.4,3.0,92.4
0,683.0,84.0,9.0,49.04,12.88888888888889,24.52
1,683.0,64340.0,54.0,13.15,740.2222222222222,13.15
0,77699.0,49.0,14.0,74.12,4.642857142857143,148.24
1,77699.0,99.0,2.0,96.88,54.5,4.613333333333333
0,18450.0,13.0,2.0,84.5,4.5,169.0
1,18450.0,87360.0,64.0,43.97,12.453125,87.94
0,61809.0,22.0,2.0,172.16,32.5,24.594285714285714
1,61809.0,5.0,10.0,51.2,6785.3,12.8
2,5.0,88.0,4.0,91.38,15.25,22.845
3,88.0,84.0,4.0,126.06,24.75,126.06
4,84.0,61809.0,5.0,63.19,12.8,15.7975
5,5.0,22.0,3.0,121.22,3.3333333333333335,40.406666666666666
6,22.0,88.0,3.0,202.54,1.3333333333333333,202.54
7,88.0,61809.0,5.0,63.96,4.8,21.32
8,22.0,84.0,2.0,146.05,5.0,146.05
9,5.0,84.0,1.0,58.5,3.0,19.5
0,80412.0,59809.0,187.0,141.03,104.27272727272727,282.06
1,80412.0,84.0,7.0,115.66,213.28571428571428,231.32
2,59809.0,13.0,3.0,173.5,1.6666666666666667,173.5
3,13.0,80412.0,5.0,33.55,5.4,8.3875
4,59809.0,84.0,9.0,88.03,8.0,88.03
5,80412.0,99.0,1.0,137.15,117.0,1.1722222222222223
6,99.0,59809.0,1.0,4.29,43.0,0.09976744186046511
0,32010.0,7882.0,85.0,35.47,46.44705882352941,70.94
1,32010.0,13.0,4.0,105.26,17.5,26.315
2,32010.0,92.0,2.0,157.94,4.5,39.485
3,32010.0,84.0,1.0,61.72,3.0,20.573333333333334
4,84.0,94758.0,1.0,138.37,1.0,138.37
5,94758.0,32010.0,6.0,126.25,8668.166666666666,18.035714285714285
6,32010.0,120.0,1.0,49.05,1.0,49.05
7,120.0,94758.0,1.0,87.21,3.0,29.069999999999997
0,5.0,95.0,2.0,39.38,13.0,4.375555555555556
1,5.0,84.0,7.0,58.5,7.0,29.25
2,5.0,32.0,1.0,48.84,11.0,4.44
3,32.0,84.0,1.0,57.42,5.0,11.484
0,49407.0,16667.0,20.0,11.05,2521.0,11.05
0,85535.0,55318.0,179.0,5.0,303.14525139664806,10.0
1,85535.0,33.0,1.0,84.45,50.0,1.689
2,33.0,55318.0,1.0,84.45,6.0,14.075000000000001
0,32.0,22.0,11.0,88.88,39.45454545454545,11.11
1,32.0,5.0,10.0,48.84,100.4,24.42
2,22.0,120.0,4.0,86.98,29.5,21.745
3,22.0,99.0,6.0,64.39,366.6666666666667,10.731666666666667
4,22.0,33.0,2.0,24.53,58.5,4.088333333333334
0,94758.0,32.0,3.0,81.87,380.3333333333333,81.87
1,94758.0,99.0,2.0,59.51,332.0,0.32519125683060107
2,32.0,99.0,1.0,27.73,22439.0,0.0012357948215161103
0,33.0,22.0,25.0,24.53,382.52,4.088333333333334
1,33.0,66.0,1.0,211.28,754.0,0.28021220159151194
2,66.0,96.0,1.0,64.72,4.0,16.18
3,96.0,22.0,1.0,150.17,6095.0,0.024638228055783428
0,80412.0,13.0,3.0,33.55,8.333333333333334,11.183333333333332
1,13.0,5.0,1.0,114.24,0.0,228.48
2,5.0,80412.0,1.0,80.82,10.0,8.081999999999999
0,95.0,88.0,7.0,53.3,770.7142857142857,13.325
1,95.0,5.0,8.0,39.38,562.875,13.126666666666667
2,95.0,49.0,5.0,55.08,704.8,13.77
3,49.0,88.0,1.0,82.73,897.0,0.09222965440356745
4,5.0,88.0,2.0,91.38,454.5,22.845
0,80412.0,5.0,4.0,80.82,3.5,40.41
0,54450.0,15441.0,12.0,77.52,4243.333333333333,25.84
1,54450.0,5.0,8.0,96.86,10.375,193.72
2,54450.0,49.0,8.0,85.94,6.875,85.94
3,54450.0,99.0,2.0,152.71,1.5,305.42
0,92638.0,49.0,4.0,74.35,364.0,1.0047297297297297
1,92638.0,88.0,12.0,46.42,208.66666666666666,0.5045652173913043
2,92638.0,99.0,1.0,100.98,10.0,10.098
0,79368.0,5.0,10.0,72.9,4930.0,24.3
1,79368.0,33.0,6.0,47.52,134.16666666666666,9.504000000000001
0,89944.0,15246.0,9.0,78.24,84.55555555555556,78.24
1,15246.0,95.0,2.0,63.73,6.5,21.243333333333332
2,15246.0,99.0,1.0,38.53,90.0,0.4281111111111111
0,23601.0,13.0,14.0,88.2,2.642857142857143,176.4
0,88.0,95.0,1.0,53.3,4.0,13.325
1,95.0,32.0,5.0,87.51,1105.6,29.17
2,95.0,22.0,3.0,157.9,523.0,2.1930555555555555
3,22.0,32.0,2.0,88.88,379.0,8.888
4,32.0,120.0,2.0,54.21,1227.5,0.3543137254901961
5,120.0,22.0,1.0,86.98,2973.0,0.02925664312142617
