,wifi_a,wifi_b,count,distance,meanTime,maxSpeed
16,5.0,84.0,1.0,58.5,1.0,58.5
17,5.0,13.0,1.0,114.24,2.0,57.12
18,13.0,22.0,1.0,223.94,2.0,111.97
19,95.0,99.0,1.0,97.82,288.0,0.33965277777777775
20,99.0,5.0,1.0,59.06,3.0,19.686666666666667
0,95.0,84.0,10.0,76.73,117.6,15.346
1,95.0,5.0,47.0,39.38,154.89361702127658,9.845
2,95.0,99.0,10.0,97.82,62.9,48.91
3,99.0,5.0,3.0,59.06,5.666666666666667,19.686666666666667
4,99.0,84.0,1.0,84.36,81.0,1.0414814814814815
5,84.0,5.0,5.0,58.5,268.0,0.6428571428571429
6,95.0,22.0,4.0,157.9,293.75,19.7375
7,22.0,5.0,2.0,121.22,9.0,13.46888888888889
8,5.0,49.0,1.0,73.03,56648.0,0.0012891893800310692
9,49.0,95.0,1.0,55.08,184.0,0.29934782608695654
0,95.0,88.0,145.0,53.3,32.39310344827586,106.6
1,88.0,49.0,9.0,82.73,6302.444444444444,16.546
2,95.0,5.0,235.0,39.38,36.55744680851064,19.69
3,95.0,49.0,36.0,55.08,32.19444444444444,27.54
4,49.0,5.0,23.0,73.03,14.217391304347826,146.06
5,5.0,88.0,52.0,91.38,36.36538461538461,18.276
6,95.0,99.0,19.0,97.82,7.526315789473684,97.82
7,99.0,5.0,15.0,59.06,3.6,118.12
8,95.0,92.0,16.0,156.67,26.9375,313.34
9,5.0,92.0,6.0,160.5,13.833333333333334,80.25
10,88.0,99.0,3.0,147.2,7.333333333333333,49.06666666666666
11,92.0,88.0,7.0,149.17,16.285714285714285,149.17
12,92.0,13.0,1.0,154.36,3.0,51.45333333333334
13,13.0,95.0,6.0,76.05,6.333333333333333,19.0125
14,49.0,92.0,2.0,211.31,0.5,422.62
15,5.0,13.0,4.0,114.24,1.0,114.24
16,13.0,22.0,1.0,223.94,2.0,111.97
17,22.0,95.0,3.0,157.9,5.0,31.580000000000002
18,5.0,22.0,2.0,121.22,3.0,40.406666666666666
19,99.0,22.0,2.0,64.39,6.5,10.731666666666667
20,5.0,120.0,1.0,44.14,8.0,5.5175
21,120.0,99.0,1.0,40.56,2.0,20.28
22,99.0,32.0,7.0,27.73,6.428571428571429,4.621666666666667
23,32.0,22.0,1.0,88.88,0.0,177.76
24,22.0,120.0,1.0,86.98,5.0,17.396
25,120.0,95.0,1.0,73.6,0.0,147.2
26,5.0,32.0,4.0,48.84,13.25,16.28
27,99.0,84.0,1.0,84.36,3.0,28.12
28,84.0,5.0,1.0,58.5,0.0,117.0
29,99.0,49.0,2.0,126.11,1.0,126.11
0,95.0,88.0,103.0,53.3,593.3689320388349,53.3
1,95.0,92.0,3.0,156.67,8.0,26.111666666666665
2,92.0,88.0,3.0,149.17,17.666666666666668,29.833999999999996
