node_id,x,y
149,279.51920000000001,149.80083400000001
150,278.801649,146.34975499999999
151,273.59550300000001,142.47698800000001
152,269.22254099999998,140.67992599999999
153,262.14210300000002,140.67992599999999
154,255.13743700000001,140.23572799999999
155,248.33778599999999,138.117243
156,242.39236299999999,134.597826
157,240.44936000000001,129.27575899999999
158,231.04822200000001,125.269662
159,221.10501300000001,119.973451
160,211.57183499999999,116.146512
161,202.55119199999999,111.362838
162,47.882190999999999,0.0
163,47.882190999999999,4.8138360000000002
164,48.302168999999999,8.2059660000000001
165,51.629686999999997,9.8212659999999996
166,52.178888999999998,15.280979
167,55.118734000000003,20.320715
168,58.870797000000003,23.389085999999999
169,62.809952000000003,23.635283000000001
170,68.866403000000005,28.411508999999999
171,78.320375999999996,32.005988000000002
172,85.625960000000006,35.757745999999997
173,91.342706000000007,40.026947999999997
174,96.081905000000006,42.110112999999998
175,102.487635,48.307526000000003
176,112.64306000000001,49.609504000000001
177,121.600666,55.650680000000001
178,126.33986400000001,58.358792999999999
179,132.01648599999999,63.775019999999998
180,135.81826100000001,65.493629999999996
181,143.63908799999999,73.379168000000007
182,149.96669900000001,78.863097999999994
183,154.986604,78.019417000000004
184,161.01892699999999,77.049182999999999
185,167.05124900000001,77.555391999999998
186,173.46322900000001,83.081505000000007
187,177.977903,85.479924999999994
188,185.00858199999999,88.917146000000002
189,188.78294,90.762388000000001
190,192.08425199999999,95.167841999999993
191,196.52062000000001,97.289584000000005
192,201.98571100000001,99.925686999999996
193,205.89865399999999,103.486856
194,212.048528,106.100685
195,225.588348,108.47774200000001
196,234.14389800000001,111.40464
197,241.49866900000001,115.907561
198,243.600032,117.70873
199,241.49866900000001,125.51379300000001
200,78.462193999999997,41.520868
201,67.984459999999999,50.252313999999998
202,147.226992,87.001654000000002
203,198.865557,118.312894
204,259.06521199999997,147.52388300000001
205,256.20086199999997,151.74229
206,250.836714,157.262675
207,298.44117199999999,243.817913
208,295.44438000000002,246.774766
209,293.13012600000002,249.97533000000001
210,293.13012600000002,253.126654
211,291.505225,255.687105
212,289.09249199999999,249.82761199999999
213,284.75942099999997,248.20271
214,310.95079800000002,262.35842400000001
215,317.92129399999999,257.47224299999999
216,319.322227,252.825245
217,323.73004100000003,252.62023099999999
218,324.14006999999998,249.85253299999999
219,327.249459,249.57918100000001
220,333.63907999999998,250.29673199999999
221,337.39768099999998,245.23970499999999
222,339.99453299999999,239.670142
223,342.283863,235.22815900000001
224,347.23341299999998,231.46955800000001
225,346.41377,220.50091900000001
226,333.43516399999999,238.89819600000001
227,326.68936000000002,238.011887
228,318.76181000000003,234.17121
229,313.67012099999999,231.95410699999999
230,304.06842999999998,229.59061399999999
231,301.55254600000001,226.93547000000001
232,303.034402,224.46971199999999
233,303.034402,220.18588
234,303.92071199999998,217.52695
235,307.61367000000001,210.781147
236,288.44635299999999,211.872477
237,294.56521800000002,214.52334500000001
238,297.42110600000001,215.60661200000001
239,299.48907700000001,219.40751299999999
240,370.98258499999997,159.940167
241,366.80339800000002,162.19049899999999
242,360.50246900000002,163.99076400000001
243,356.32328200000001,163.79787899999999
244,349.63658199999998,164.69801100000001
245,347.19336499999997,169.19867500000001
246,344.59523999999999,175.541663
247,340.69955099999999,181.671941
248,337.42049600000001,188.10146
249,337.03472499999998,194.273799
250,339.15646600000002,200.38184200000001
251,342.238159,205.59444400000001
252,381.39694100000003,63.133526000000003
253,379.57127500000001,66.626104999999995
254,380.04753499999998,69.721799000000004
255,377.03121800000002,74.087522000000007
256,375.52305899999999,78.532621000000006
257,371.55421999999999,82.183953000000002
258,368.45852600000001,87.819704000000002
259,367.82351199999999,93.376079000000004
260,369.807931,96.313018999999997
261,372.03048100000001,100.36123499999999
262,372.90362499999998,107.02888400000001
263,374.25303100000002,113.458403
264,376.78358100000003,117.83765699999999
265,380.44840699999997,122.916977
266,380.57923599999998,129.452811
267,380.05828200000002,139.48814400000001
268,379.26451400000002,145.123895
269,375.61318199999999,149.88650200000001
270,373.073125,154.25222500000001
271,373.54111699999999,164.69172599999999
272,374.09427699999998,172.59410299999999
273,370.98258499999997,179.261752
274,368.14101900000003,182.99246099999999
275,367.10912100000002,189.263226
276,370.98258499999997,196.32775899999999
277,376.158073,201.72538
278,377.26934799999998,207.59926200000001
279,298.58256499999999,174.48987299999999
280,302.78234400000002,177.26818900000001
281,304.88223399999998,179.46499700000001
282,306.07755600000002,181.726417
