M,Dur,A_count,Count,oriMac,date,Moment
"7.18-176,252,54,92,62,89",16.57,2.0,53.0,"176,252,54,92,62,89",7.18,16.57
"7.18-220,245,5,135,187,95",15.23,2.0,60.0,"220,245,5,135,187,95",7.18,15.23
"7.18-168,164,125,159,153,152",16.33,3.0,5.0,"168,164,125,159,153,152",7.18,16.33
"7.18-160,4,207,140,11,128",9.3,1.0,2.0,"160,4,207,140,11,128",7.18,9.3
"7.18-80,210,245,240,233,85",15.72,2.0,11.0,"80,210,245,240,233,85",7.18,15.72
"7.18-108,215,31,1,165,17",9.38,3.0,44.0,"108,215,31,1,165,17",7.18,9.38
"7.18-56,252,152,142,93,110",16.6,3.0,165.0,"56,252,152,142,93,110",7.18,16.6
"7.18-204,102,10,209,112,18",10.88,5.0,80.0,"204,102,10,209,112,18",7.18,10.88
"7.18-24,158,44,153,108,178",12.55,4.0,37.0,"24,158,44,153,108,178",7.18,12.55
"7.18-240,103,40,135,90,171",16.53,1.0,960.0,"240,103,40,135,90,171",7.18,16.53
"7.18-44,21,225,16,68,88",12.22,3.0,5.0,"44,21,225,16,68,88",7.18,12.22
"7.18-108,177,88,58,181,202",11.87,4.0,9.0,"108,177,88,58,181,202",7.18,11.87
"7.18-220,68,109,56,146,61",9.35,3.0,3.0,"220,68,109,56,146,61",7.18,9.35
"7.18-12,75,84,85,61,8",9.57,1.0,2.0,"12,75,84,85,61,8",7.18,9.57
"7.18-216,50,20,254,96,65",11.33,4.0,6.0,"216,50,20,254,96,65",7.18,11.33
"7.18-168,226,195,233,6,76",11.42,2.0,2.0,"168,226,195,233,6,76",7.18,11.42
"7.18-244,96,226,16,224,222",12.67,1.0,20.0,"244,96,226,16,224,222",7.18,12.67
"7.18-192,46,37,42,205,205",16.72,3.0,66.0,"192,46,37,42,205,205",7.18,16.72
"7.18-48,123,172,71,127,116",9.5,2.0,2.0,"48,123,172,71,127,116",7.18,9.5
"7.18-48,123,172,71,160,113",11.63,4.0,9.0,"48,123,172,71,160,113",7.18,11.63
"7.18-124,112,219,159,148,108",15.97,1.0,7.0,"124,112,219,159,148,108",7.18,15.97
"7.18-160,157,193,211,143,65",12.5,3.0,62.0,"160,157,193,211,143,65",7.18,12.5
"7.18-144,120,65,31,69,55",16.77,2.0,144.0,"144,120,65,31,69,55",7.18,16.77
"7.18-44,109,193,102,86,157",12.92,1.0,14.0,"44,109,193,102,86,157",7.18,12.92
"7.18-156,174,211,194,70,96",11.32,1.0,8.0,"156,174,211,194,70,96",7.18,11.32
"7.18-252,190,123,146,220,35",10.05,2.0,16.0,"252,190,123,146,220,35",7.18,10.05
"7.18-76,121,110,78,156,206",16.82,3.0,253.0,"76,121,110,78,156,206",7.18,16.82
"7.18-76,121,110,78,156,207",12.85,3.0,57.0,"76,121,110,78,156,207",7.18,12.85
"7.18-28,2,25,109,232,179",11.93,2.0,37.0,"28,2,25,109,232,179",7.18,11.93
"7.18-92,74,31,185,183,247",12.67,2.0,5.0,"92,74,31,185,183,247",7.18,12.67
"7.18-252,171,144,115,155,102",11.93,2.0,3.0,"252,171,144,115,155,102",7.18,11.93
"7.18-164,57,182,9,232,83",12.95,2.0,3.0,"164,57,182,9,232,83",7.18,12.95
"7.18-68,216,120,87,119,51",12.22,1.0,257.0,"68,216,120,87,119,51",7.18,12.22
"7.18-228,125,159,153,152,106",12.7,1.0,3.0,"228,125,159,153,152,106",7.18,12.7
"7.18-212,131,4,236,83,154",11.85,1.0,6.0,"212,131,4,236,83,154",7.18,11.85
"7.18-108,33,162,235,7,87",16.82,3.0,202.0,"108,33,162,235,7,87",7.18,16.82
"7.18-96,230,240,154,21,215",11.08,8.0,21.0,"96,230,240,154,21,215",7.18,11.08
"7.18-116,195,48,25,244,36",9.88,2.0,2.0,"116,195,48,25,244,36",7.18,9.88
"7.18-32,238,40,60,214,136",12.5,2.0,7.0,"32,238,40,60,214,136",7.18,12.5
"7.18-228,163,47,85,234,94",12.52,2.0,6.0,"228,163,47,85,234,94",7.18,12.52
"7.18-152,34,239,8,233,105",17.0,5.0,645.0,"152,34,239,8,233,105",7.18,17.0
"7.18-32,195,143,154,172,97",11.17,9.0,21.0,"32,195,143,154,172,97",7.18,11.17
"7.18-236,43,168,48,74,38",10.07,1.0,2.0,"236,43,168,48,74,38",7.18,10.07
"7.18-96,61,164,184,148,54",12.58,2.0,2.0,"96,61,164,184,148,54",7.18,12.58
"7.18-20,90,252,52,211,125",13.07,2.0,6.0,"20,90,252,52,211,125",7.18,13.07
"7.18-176,8,250,121,45,167",12.58,2.0,2.0,"176,8,250,121,45,167",7.18,12.58
"7.18-160,81,11,79,37,134",11.37,1.0,5.0,"160,81,11,79,37,134",7.18,11.37
"7.18-164,80,70,27,140,33",12.83,6.0,88.0,"164,80,70,27,140,33",7.18,12.83
"7.18-140,170,206,248,25,155",12.45,1.0,4.0,"140,170,206,248,25,155",7.18,12.45
"7.18-80,143,76,102,201,17",12.3,1.0,2.0,"80,143,76,102,201,17",7.18,12.3
"7.18-152,59,103,48,125,65",15.45,2.0,4.0,"152,59,103,48,125,65",7.18,15.45
"7.18-80,210,245,241,18,92",11.8,2.0,2.0,"80,210,245,241,18,92",7.18,11.8
"7.18-48,50,51,210,96,61",12.33,2.0,2.0,"48,50,51,210,96,61",7.18,12.33
"7.18-48,74,102,133,29,213",12.03,1.0,3.0,"48,74,102,133,29,213",7.18,12.03
"7.18-64,68,253,54,202,98",10.88,2.0,2.0,"64,68,253,54,202,98",7.18,10.88
"7.18-64,69,218,107,91,35",10.88,7.0,9.0,"64,69,218,107,91,35",7.18,10.88
"7.18-16,152,195,15,47,192",11.03,2.0,3.0,"16,152,195,15,47,192",7.18,11.03
"7.18-168,80,143,76,102,201",15.7,1.0,2.0,"168,80,143,76,102,201",7.18,15.7
"7.18-104,48,181,80,143,76",15.7,1.0,2.0,"104,48,181,80,143,76",7.18,15.7
"7.18-160,220,240,144,185,104",12.6,1.0,3.0,"160,220,240,144,185,104",7.18,12.6
"7.18-180,80,143,76,102,201",11.27,1.0,4.0,"180,80,143,76,102,201",7.18,11.27
"7.18-168,220,240,144,185,104",10.83,1.0,2.0,"168,220,240,144,185,104",7.18,10.83
"7.18-140,37,5,134,24,48",17.42,2.0,61.0,"140,37,5,134,24,48",7.18,17.42
"7.18-164,220,240,144,185,104",16.5,2.0,5.0,"164,220,240,144,185,104",7.18,16.5
"7.18-196,152,92,41,196,143",13.55,3.0,38.0,"196,152,92,41,196,143",7.18,13.55
"7.18-152,59,103,48,125,41",11.97,1.0,4.0,"152,59,103,48,125,41",7.18,11.97
"7.18-176,241,236,166,12,79",12.45,6.0,24.0,"176,241,236,166,12,79",7.18,12.45
"7.18-20,71,45,69,60,115",12.98,2.0,23.0,"20,71,45,69,60,115",7.18,12.98
"7.18-220,240,144,177,104,48",12.23,2.0,2.0,"220,240,144,177,104,48",7.18,12.23
"7.18-76,24,154,44,218,251",16.58,6.0,57.0,"76,24,154,44,218,251",7.18,16.58
"7.18-140,52,1,175,121,255",15.68,8.0,231.0,"140,52,1,175,121,255",7.18,15.68
"7.18-48,74,54,133,29,213",11.55,2.0,2.0,"48,74,54,133,29,213",7.18,11.55
"7.18-104,74,174,67,128,132",17.52,3.0,16.0,"104,74,174,67,128,132",7.18,17.52
"7.18-212,26,63,183,185,195",13.58,1.0,4.0,"212,26,63,183,185,195",7.18,13.58
"7.18-240,27,108,132,118,28",12.88,1.0,2.0,"240,27,108,132,118,28",7.18,12.88
"7.18-224,39,108,16,137,97",11.95,2.0,17.0,"224,39,108,16,137,97",7.18,11.95
"7.18-64,140,31,117,95,237",11.42,5.0,9.0,"64,140,31,117,95,237",7.18,11.42
"7.18-36,121,243,216,47,121",11.47,2.0,10.0,"36,121,243,216,47,121",7.18,11.47
"7.18-48,123,172,71,160,50",13.63,1.0,3.0,"48,123,172,71,160,50",7.18,13.63
"7.18-116,242,250,31,57,102",12.97,2.0,5.0,"116,242,250,31,57,102",7.18,12.97
"7.18-48,74,38,133,29,85",17.77,2.0,4.0,"48,74,38,133,29,85",7.18,17.77
"7.18-120,68,253,251,54,117",12.62,2.0,2.0,"120,68,253,251,54,117",7.18,12.62
"7.18-72,70,193,78,219,217",14.07,2.0,21.0,"72,70,193,78,219,217",7.18,14.07
"7.18-224,238,27,201,210,17",11.9,8.0,15.0,"224,238,27,201,210,17",7.18,11.9
"7.18-48,78,38,133,29,213",12.7,2.0,2.0,"48,78,38,133,29,213",7.18,12.7
"7.18-220,240,144,249,104,48",13.5,1.0,5.0,"220,240,144,249,104,48",7.18,13.5
"7.18-72,149,7,30,171,33",13.9,1.0,5.0,"72,149,7,30,171,33",7.18,13.9
"7.18-36,17,69,161,54,93",17.97,1.0,2.0,"36,17,69,161,54,93",7.18,17.97
"7.18-12,75,84,85,60,182",13.58,2.0,4.0,"12,75,84,85,60,182",7.18,13.58
"7.18-220,240,16,185,104,48",14.05,1.0,4.0,"220,240,16,185,104,48",7.18,14.05
"7.18-112,58,81,118,31,27",12.23,1.0,2.0,"112,58,81,118,31,27",7.18,12.23
"7.18-48,74,38,133,21,213",13.28,2.0,2.0,"48,74,38,133,21,213",7.18,13.28
"7.18-188,95,246,246,99,95",14.05,1.0,2.0,"188,95,246,246,99,95",7.18,14.05
"7.18-164,80,70,102,229,159",12.57,3.0,64.0,"164,80,70,102,229,159",7.18,12.57
"7.18-160,148,26,36,89,17",14.25,4.0,69.0,"160,148,26,36,89,17",7.18,14.25
"7.18-80,61,198,63,196,108",12.48,2.0,2.0,"80,61,198,63,196,108",7.18,12.48
"7.18-240,98,90,159,90,22",12.65,7.0,36.0,"240,98,90,159,90,22",7.18,12.65
"7.18-156,245,49,209,69,163",12.68,4.0,11.0,"156,245,49,209,69,163",7.18,12.68
"7.18-32,40,62,78,237,188",13.3,1.0,2.0,"32,40,62,78,237,188",7.18,13.3
"7.18-48,231,188,153,110,173",18.45,6.0,25.0,"48,231,188,153,110,173",7.18,18.45
"7.18-52,8,188,243,248,24",15.97,1.0,20.0,"52,8,188,243,248,24",7.18,15.97
"7.18-44,169,240,18,181,97",13.15,2.0,6.0,"44,169,240,18,181,97",7.18,13.15
"7.18-8,250,121,45,39,67",14.32,1.0,2.0,"8,250,121,45,39,67",7.18,14.32
"7.18-8,179,175,7,212,61",14.63,2.0,13.0,"8,179,175,7,212,61",7.18,14.63
"7.18-164,204,185,239,89,33",13.68,2.0,8.0,"164,204,185,239,89,33",7.18,13.68
"7.18-124,179,123,208,149,129",14.65,2.0,83.0,"124,179,123,208,149,129",7.18,14.65
"7.18-64,141,31,142,167,21",13.98,1.0,2.0,"64,141,31,142,167,21",7.18,13.98
"7.18-72,149,7,241,12,239",13.83,2.0,3.0,"72,149,7,241,12,239",7.18,13.83
"7.18-168,8,250,121,45,167",17.23,1.0,3.0,"168,8,250,121,45,167",7.18,17.23
"7.18-140,31,142,167,149,160",17.43,2.0,2.0,"140,31,142,167,149,160",7.18,17.43
"7.18-168,208,151,254,41,36",17.23,1.0,3.0,"168,208,151,254,41,36",7.18,17.23
"7.18-240,144,185,104,48,164",18.25,1.0,2.0,"240,144,185,104,48,164",7.18,18.25
"7.18-168,184,148,54,32,44",14.4,1.0,3.0,"168,184,148,54,32,44",7.18,14.4
"7.18-148,54,32,44,55,171",14.4,1.0,2.0,"148,54,32,44,55,171",7.18,14.4
"7.18-240,41,58,135,169,1",15.9,2.0,2.0,"240,41,58,135,169,1",7.18,15.9
"7.18-160,88,198,240,41,58",14.4,1.0,2.0,"160,88,198,240,41,58",7.18,14.4
"7.18-184,148,54,48,44,55",15.3,2.0,2.0,"184,148,54,48,44,55",7.18,15.3
"7.18-8,250,121,195,19,245",14.65,1.0,2.0,"8,250,121,195,19,245",7.18,14.65
"7.18-48,74,38,155,214,98",15.02,1.0,2.0,"48,74,38,155,214,98",7.18,15.02
"7.18-32,50,51,210,112,61",15.07,1.0,4.0,"32,50,51,210,112,61",7.18,15.07
"7.18-164,4,80,111,146,194",14.67,2.0,8.0,"164,4,80,111,146,194",7.18,14.67
"7.18-112,71,233,36,21,7",15.15,1.0,2.0,"112,71,233,36,21,7",7.18,15.15
"7.18-160,110,247,96,234,205",15.07,1.0,2.0,"160,110,247,96,234,205",7.18,15.07
"7.18-224,55,191,183,220,186",19.68,2.0,45.0,"224,55,191,183,220,186",7.18,19.68
"7.18-240,144,185,104,48,168",15.38,1.0,2.0,"240,144,185,104,48,168",7.18,15.38
"7.18-168,152,146,10,133,99",15.68,1.0,2.0,"168,152,146,10,133,99",7.18,15.68
"7.18-184,80,143,76,102,201",19.92,2.0,4.0,"184,80,143,76,102,201",7.18,19.92
"7.18-64,200,31,163,246,107",18.32,1.0,8.0,"64,200,31,163,246,107",7.18,18.32
"7.18-204,45,131,71,244,199",19.63,2.0,2.0,"204,45,131,71,244,199",7.18,19.63
"7.18-140,11,128,186,168,1",20.78,2.0,2.0,"140,11,128,186,168,1",7.18,20.78
"7.18-188,80,143,76,102,201",20.72,1.0,3.0,"188,80,143,76,102,201",7.18,20.72
"7.18-240,144,185,104,48,189",20.72,1.0,2.0,"240,144,185,104,48,189",7.18,20.72
"7.18-168,60,136,95,198,167",19.38,1.0,2.0,"168,60,136,95,198,167",7.18,19.38
"7.18-200,31,163,246,107,166",19.38,1.0,2.0,"200,31,163,246,107,166",7.18,19.38
"7.18-164,140,170,206,161,68",21.1,2.0,2.0,"164,140,170,206,161,68",7.18,21.1
"7.18-168,142,182,214,236,44",22.35,2.0,2.0,"168,142,182,214,236,44",7.18,22.35
"7.18-164,164,125,159,153,152",22.62,1.0,3.0,"164,164,125,159,153,152",7.18,22.62
"7.18-164,118,229,160,225,193",22.8,1.0,2.0,"164,118,229,160,225,193",7.18,22.8
"7.18-168,224,55,191,183,220",22.8,1.0,3.0,"168,224,55,191,183,220",7.18,22.8
"7.18-20,153,226,219,38,57",23.93,2.0,7.0,"20,153,226,219,38,57",7.18,23.93
"7.19-36,17,69,161,50,93",11.98,6.0,1766.0,"36,17,69,161,50,93",7.19,11.98
"7.19-20,94,105,93,76,199",11.83,6.0,733.0,"20,94,105,93,76,199",7.19,11.83
"7.19-32,50,51,210,96,61",11.98,6.0,9880.0,"32,50,51,210,96,61",7.19,11.98
"7.19-180,71,245,166,44,220",11.98,5.0,1640.0,"180,71,245,166,44,220",7.19,11.98
"7.19-64,140,31,142,167,149",11.98,16.0,5275.0,"64,140,31,142,167,149",7.19,11.98
"7.19-112,71,233,44,21,7",11.98,2.0,2918.0,"112,71,233,44,21,7",7.19,11.98
"7.19-48,74,38,133,29,213",11.98,5.0,8799.0,"48,74,38,133,29,213",7.19,11.98
"7.19-112,138,9,131,175,199",11.97,5.0,2470.0,"112,138,9,131,175,199",7.19,11.97
"7.19-252,107,240,89,142,53",11.98,5.0,7380.0,"252,107,240,89,142,53",7.19,11.98
"7.19-192,46,37,42,205,205",11.98,3.0,175.0,"192,46,37,42,205,205",7.19,11.98
"7.19-76,213,119,170,111,119",11.98,5.0,775.0,"76,213,119,170,111,119",7.19,11.98
"7.19-164,125,159,153,152,106",11.98,6.0,6402.0,"164,125,159,153,152,106",7.19,11.98
"7.19-224,55,191,183,220,186",7.63,3.0,4549.0,"224,55,191,183,220,186",7.19,7.63
"7.19-8,250,121,194,19,245",12.0,5.0,1594.0,"8,250,121,194,19,245",7.19,12.0
"7.19-32,50,51,210,97,61",9.55,2.0,5.0,"32,50,51,210,97,61",7.19,9.55
"7.19-172,115,82,76,172,89",11.98,11.0,2138.0,"172,115,82,76,172,89",7.19,11.98
"7.19-40,58,77,49,206,211",12.0,3.0,3142.0,"40,58,77,49,206,211",7.19,12.0
"7.19-36,82,106,59,81,234",11.97,2.0,599.0,"36,82,106,59,81,234",7.19,11.97
"7.19-80,143,76,102,201,25",11.92,3.0,3527.0,"80,143,76,102,201,25",7.19,11.92
"7.19-72,81,197,94,156,205",12.0,4.0,6055.0,"72,81,197,94,156,205",7.19,12.0
"7.19-20,178,229,137,47,142",12.0,9.0,6670.0,"20,178,229,137,47,142",7.19,12.0
"7.19-184,55,101,29,72,107",11.98,7.0,1997.0,"184,55,101,29,72,107",7.19,11.98
"7.19-88,198,240,41,58,135",12.0,14.0,1706.0,"88,198,240,41,58,135",7.19,12.0
"7.19-184,148,54,32,44,55",12.0,11.0,2044.0,"184,148,54,32,44,55",7.19,12.0
"7.19-48,231,188,153,110,173",11.02,10.0,170.0,"48,231,188,153,110,173",7.19,11.02
"7.19-208,151,254,40,222,169",11.98,5.0,733.0,"208,151,254,40,222,169",7.19,11.98
"7.19-8,250,121,45,167,67",11.98,8.0,3127.0,"8,250,121,45,167,67",7.19,11.98
"7.19-176,252,54,92,62,89",11.9,2.0,213.0,"176,252,54,92,62,89",7.19,11.9
"7.19-152,34,239,8,233,105",12.0,6.0,1620.0,"152,34,239,8,233,105",7.19,12.0
"7.19-140,170,206,161,68,84",11.35,10.0,2098.0,"140,170,206,161,68,84",7.19,11.35
"7.19-156,116,3,130,126,7",11.98,4.0,335.0,"156,116,3,130,126,7",7.19,11.98
"7.19-116,76,161,98,31,201",12.0,3.0,521.0,"116,76,161,98,31,201",7.19,12.0
"7.19-80,210,245,240,233,85",12.0,3.0,28.0,"80,210,245,240,233,85",7.19,12.0
"7.19-48,69,150,180,24,101",11.98,3.0,1489.0,"48,69,150,180,24,101",7.19,11.98
"7.19-4,207,140,11,128,186",11.97,5.0,1094.0,"4,207,140,11,128,186",7.19,11.97
"7.19-204,129,42,183,42,73",11.88,10.0,2313.0,"204,129,42,183,42,73",7.19,11.88
"7.19-108,217,76,95,253,145",11.98,8.0,273.0,"108,217,76,95,253,145",7.19,11.98
"7.19-168,152,146,10,133,107",11.85,1.0,1427.0,"168,152,146,10,133,107",7.19,11.85
"7.19-240,103,40,135,90,171",11.85,1.0,1817.0,"240,103,40,135,90,171",7.19,11.85
"7.19-236,193,171,217,136,197",11.53,2.0,611.0,"236,193,171,217,136,197",7.19,11.53
"7.19-20,154,16,154,204,112",11.97,9.0,507.0,"20,154,16,154,204,112",7.19,11.97
"7.19-140,37,5,134,24,48",11.98,5.0,218.0,"140,37,5,134,24,48",7.19,11.98
"7.19-108,33,162,235,7,87",12.02,3.0,426.0,"108,33,162,235,7,87",7.19,12.02
"7.19-56,252,152,142,93,110",11.92,4.0,234.0,"56,252,152,142,93,110",7.19,11.92
"7.19-8,74,207,99,147,223",11.4,6.0,114.0,"8,74,207,99,147,223",7.19,11.4
"7.19-204,45,131,71,244,199",11.7,6.0,1082.0,"204,45,131,71,244,199",7.19,11.7
"7.19-20,153,226,219,38,57",11.98,4.0,362.0,"20,153,226,219,38,57",7.19,11.98
"7.19-208,151,254,41,36,198",12.02,10.0,1590.0,"208,151,254,41,36,198",7.19,12.02
"7.19-76,121,110,92,225,133",12.02,2.0,147.0,"76,121,110,92,225,133",7.19,12.02
"7.19-76,192,10,202,59,191",11.98,2.0,512.0,"76,192,10,202,59,191",7.19,11.98
"7.19-156,95,90,12,124,73",12.02,8.0,1975.0,"156,95,90,12,124,73",7.19,12.02
"7.19-204,8,251,70,125,190",10.85,4.0,9.0,"204,8,251,70,125,190",7.19,10.85
"7.19-76,121,110,78,156,207",12.02,3.0,106.0,"76,121,110,78,156,207",7.19,12.02
"7.19-76,121,110,78,156,206",12.02,4.0,947.0,"76,121,110,78,156,206",7.19,12.02
"7.19-144,120,65,31,69,55",11.93,4.0,513.0,"144,120,65,31,69,55",7.19,11.93
"7.19-240,27,108,132,118,12",11.8,2.0,718.0,"240,27,108,132,118,12",7.19,11.8
"7.19-164,80,70,27,140,33",11.8,7.0,212.0,"164,80,70,27,140,33",7.19,11.8
"7.19-112,58,81,118,159,27",11.68,4.0,2321.0,"112,58,81,118,159,27",7.19,11.68
"7.19-32,238,40,60,214,136",5.83,1.0,24.0,"32,238,40,60,214,136",7.19,5.83
"7.19-132,65,103,218,221,212",12.0,6.0,435.0,"132,65,103,218,221,212",7.19,12.0
"7.19-100,188,88,186,223,176",11.97,4.0,132.0,"100,188,88,186,223,176",7.19,11.97
"7.19-28,66,125,50,93,223",12.0,2.0,52.0,"28,66,125,50,93,223",7.19,12.0
"7.19-88,102,186,101,140,144",11.77,2.0,477.0,"88,102,186,101,140,144",7.19,11.77
"7.19-220,240,144,185,104,48",12.03,6.0,2189.0,"220,240,144,185,104,48",7.19,12.03
"7.19-4,237,51,58,71,236",12.05,3.0,890.0,"4,237,51,58,71,236",7.19,12.05
"7.19-104,74,174,67,128,132",12.07,3.0,41.0,"104,74,174,67,128,132",7.19,12.07
"7.19-220,109,205,125,41,209",11.73,2.0,238.0,"220,109,205,125,41,209",7.19,11.73
"7.19-72,149,7,30,171,33",10.87,2.0,35.0,"72,149,7,30,171,33",7.19,10.87
"7.19-140,31,142,167,149,173",11.1,3.0,8.0,"140,31,142,167,149,173",7.19,11.1
"7.19-140,31,142,167,149,165",8.33,2.0,8.0,"140,31,142,167,149,165",7.19,8.33
"7.19-148,54,32,44,55,161",0.85,2.0,2.0,"148,54,32,44,55,161",7.19,0.85
"7.19-140,31,142,167,149,164",4.55,3.0,3.0,"140,31,142,167,149,164",7.19,4.55
"7.19-140,31,142,167,149,169",7.73,2.0,9.0,"140,31,142,167,149,169",7.19,7.73
"7.19-148,54,32,44,55,163",0.18,1.0,2.0,"148,54,32,44,55,163",7.19,0.18
"7.19-140,31,142,167,149,162",6.43,3.0,3.0,"140,31,142,167,149,162",7.19,6.43
"7.19-140,31,142,167,149,171",6.3,1.0,2.0,"140,31,142,167,149,171",7.19,6.3
"7.19-64,200,31,163,246,107",12.12,2.0,3053.0,"64,200,31,163,246,107",7.19,12.12
"7.19-80,137,101,1,249,199",12.08,2.0,56.0,"80,137,101,1,249,199",7.19,12.08
"7.19-220,245,5,135,188,48",10.93,3.0,184.0,"220,245,5,135,188,48",7.19,10.93
"7.19-248,45,124,72,127,16",12.07,7.0,789.0,"248,45,124,72,127,16",7.19,12.07
"7.19-64,140,31,142,231,149",9.15,2.0,3.0,"64,140,31,142,231,149",7.19,9.15
"7.19-24,2,174,207,62,51",11.83,3.0,305.0,"24,2,174,207,62,51",7.19,11.83
"7.19-12,75,84,85,60,182",9.08,3.0,3.0,"12,75,84,85,60,182",7.19,9.08
"7.19-52,8,188,243,248,24",12.08,4.0,103.0,"52,8,188,243,248,24",7.19,12.08
"7.19-164,201,57,9,43,253",12.18,6.0,1039.0,"164,201,57,9,43,253",7.19,12.18
"7.19-144,195,95,15,4,30",11.25,3.0,399.0,"144,195,95,15,4,30",7.19,11.25
"7.19-172,8,250,121,45,167",8.35,2.0,7.0,"172,8,250,121,45,167",7.19,8.35
"7.19-168,64,140,31,142,167",6.52,2.0,2.0,"168,64,140,31,142,167",7.19,6.52
"7.19-176,26,242,44,233,231",7.43,1.0,5.0,"176,26,242,44,233,231",7.19,7.43
"7.19-160,134,115,188,19,24",10.55,1.0,2.0,"160,134,115,188,19,24",7.19,10.55
"7.19-160,112,58,81,118,159",3.65,2.0,2.0,"160,112,58,81,118,159",7.19,3.65
"7.19-64,156,31,142,167,149",12.02,2.0,5.0,"64,156,31,142,167,149",7.19,12.02
"7.19-164,220,240,144,185,104",10.6,2.0,6.0,"164,220,240,144,185,104",7.19,10.6
"7.19-240,144,185,104,48,160",6.83,2.0,3.0,"240,144,185,104,48,160",7.19,6.83
"7.19-180,220,240,144,185,104",2.1,1.0,2.0,"180,220,240,144,185,104",7.19,2.1
"7.19-128,186,83,64,235,168",4.05,2.0,2.0,"128,186,83,64,235,168",7.19,4.05
"7.19-156,116,3,24,100,145",12.2,7.0,424.0,"156,116,3,24,100,145",7.19,12.2
"7.19-8,179,175,7,212,61",11.4,2.0,30.0,"8,179,175,7,212,61",7.19,11.4
"7.19-164,125,159,153,152,110",4.37,1.0,2.0,"164,125,159,153,152,110",7.19,4.37
"7.19-164,140,170,206,161,68",3.77,2.0,2.0,"164,140,170,206,161,68",7.19,3.77
"7.19-160,112,138,9,131,175",10.15,3.0,4.0,"160,112,138,9,131,175",7.19,10.15
"7.19-252,171,144,115,155,102",12.43,2.0,16.0,"252,171,144,115,155,102",7.19,12.43
"7.19-164,204,185,229,56,107",12.47,7.0,137.0,"164,204,185,229,56,107",7.19,12.47
"7.19-44,204,230,183,227,122",9.58,2.0,3.0,"44,204,230,183,227,122",7.19,9.58
"7.19-252,107,240,93,142,53",8.08,2.0,3.0,"252,107,240,93,142,53",7.19,8.08
"7.19-64,69,218,104,146,86",9.85,8.0,53.0,"64,69,218,104,146,86",7.19,9.85
"7.19-76,192,10,202,59,189",12.17,2.0,6.0,"76,192,10,202,59,189",7.19,12.17
"7.19-140,37,5,198,24,48",12.03,1.0,2.0,"140,37,5,198,24,48",7.19,12.03
"7.19-4,207,141,11,128,186",8.03,1.0,2.0,"4,207,141,11,128,186",7.19,8.03
"7.19-64,12,31,142,167,149",10.13,3.0,6.0,"64,12,31,142,167,149",7.19,10.13
"7.19-168,226,195,233,6,76",11.43,3.0,6.0,"168,226,195,233,6,76",7.19,11.43
"7.19-208,151,254,41,36,162",12.6,4.0,1017.0,"208,151,254,41,36,162",7.19,12.6
"7.19-160,81,11,79,37,134",10.9,2.0,17.0,"160,81,11,79,37,134",7.19,10.9
"7.19-48,74,6,133,29,213",8.77,2.0,4.0,"48,74,6,133,29,213",7.19,8.77
"7.19-152,59,103,48,125,41",10.43,2.0,9.0,"152,59,103,48,125,41",7.19,10.43
"7.19-184,148,22,32,44,55",9.53,2.0,2.0,"184,148,22,32,44,55",7.19,9.53
"7.19-92,74,31,185,183,247",12.68,2.0,16.0,"92,74,31,185,183,247",7.19,12.68
"7.19-176,112,58,81,118,159",11.85,1.0,9.0,"176,112,58,81,118,159",7.19,11.85
"7.19-168,48,74,38,133,29",12.63,2.0,9.0,"168,48,74,38,133,29",7.19,12.63
"7.19-160,32,50,51,210,96",11.63,3.0,8.0,"160,32,50,51,210,96",7.19,11.63
"7.19-164,32,50,51,210,96",12.63,2.0,17.0,"164,32,50,51,210,96",7.19,12.63
"7.19-72,85,197,94,156,205",7.78,2.0,3.0,"72,85,197,94,156,205",7.19,7.78
"7.19-80,143,76,102,73,25",9.87,1.0,2.0,"80,143,76,102,73,25",7.19,9.87
"7.19-124,161,119,225,7,54",10.73,4.0,93.0,"124,161,119,225,7,54",7.19,10.73
"7.19-48,74,38,133,21,213",8.18,2.0,2.0,"48,74,38,133,21,213",7.19,8.18
"7.19-36,82,122,59,81,234",2.28,1.0,2.0,"36,82,122,59,81,234",7.19,2.28
"7.19-36,82,106,123,81,234",12.82,2.0,7.0,"36,82,106,123,81,234",7.19,12.82
"7.19-4,207,140,11,128,58",4.88,1.0,2.0,"4,207,140,11,128,58",7.19,4.88
"7.19-32,114,51,210,96,61",7.37,2.0,4.0,"32,114,51,210,96,61",7.19,7.37
"7.19-252,105,240,89,142,53",8.95,2.0,4.0,"252,105,240,89,142,53",7.19,8.95
"7.19-244,96,226,16,224,222",11.67,1.0,12.0,"244,96,226,16,224,222",7.19,11.67
"7.19-244,209,8,186,93,206",10.57,2.0,2.0,"244,209,8,186,93,206",7.19,10.57
"7.19-176,186,139,84,42,35",12.77,1.0,6.0,"176,186,139,84,42,35",7.19,12.77
"7.19-164,112,71,233,44,21",11.5,1.0,11.0,"164,112,71,233,44,21",7.19,11.5
"7.19-140,31,142,167,149,184",8.42,1.0,4.0,"140,31,142,167,149,184",7.19,8.42
"7.19-172,48,74,38,133,29",8.18,1.0,6.0,"172,48,74,38,133,29",7.19,8.18
"7.19-184,80,143,76,102,201",9.63,2.0,8.0,"184,80,143,76,102,201",7.19,9.63
"7.19-76,102,201,25,166,1",8.2,1.0,3.0,"76,102,201,25,166,1",7.19,8.2
