M,Dur,A_count,Count,oriMac,date,Moment
"7.5-212,26,63,183,185,195",23.88,1.0,4.0,"212,26,63,183,185,195",7.5,23.88
"7.5-208,151,254,41,36,198",23.92,2.0,13.0,"208,151,254,41,36,198",7.5,23.92
"7.5-28,54,187,20,163,246",23.93,1.0,16.0,"28,54,187,20,163,246",7.5,23.93
"7.5-128,214,5,75,8,213",23.92,2.0,5.0,"128,214,5,75,8,213",7.5,23.92
"7.5-28,66,125,50,93,223",23.92,2.0,3.0,"28,66,125,50,93,223",7.5,23.92
"7.5-240,27,108,132,118,12",23.92,2.0,3.0,"240,27,108,132,118,12",7.5,23.92
"7.5-184,55,101,29,72,107",23.93,1.0,19.0,"184,55,101,29,72,107",7.5,23.93
"7.5-156,95,90,12,124,73",23.93,3.0,9.0,"156,95,90,12,124,73",7.5,23.93
"7.5-164,201,57,205,13,69",23.93,1.0,11.0,"164,201,57,205,13,69",7.5,23.93
"7.5-132,65,103,218,221,212",23.93,1.0,3.0,"132,65,103,218,221,212",7.5,23.93
"7.5-48,69,150,180,24,101",23.93,2.0,5.0,"48,69,150,180,24,101",7.5,23.93
"7.5-184,148,54,32,44,55",23.93,2.0,14.0,"184,148,54,32,44,55",7.5,23.93
"7.5-88,102,186,101,140,144",23.93,2.0,26.0,"88,102,186,101,140,144",7.5,23.93
"7.5-64,140,31,52,191,11",23.95,2.0,3.0,"64,140,31,52,191,11",7.5,23.95
"7.5-64,68,253,44,108,157",23.95,1.0,2.0,"64,68,253,44,108,157",7.5,23.95
"7.5-124,218,195,126,234,181",23.95,2.0,2.0,"124,218,195,126,234,181",7.5,23.95
"7.6-252,107,240,89,142,53",11.98,2.0,2138.0,"252,107,240,89,142,53",7.6,11.98
"7.6-204,129,42,183,42,73",11.98,11.0,411.0,"204,129,42,183,42,73",7.6,11.98
"7.6-48,74,38,133,29,213",11.98,7.0,4707.0,"48,74,38,133,29,213",7.6,11.98
"7.6-64,140,31,142,167,149",3.62,6.0,326.0,"64,140,31,142,167,149",7.6,3.62
"7.6-32,50,51,210,96,61",11.98,6.0,4742.0,"32,50,51,210,96,61",7.6,11.98
"7.6-8,250,121,194,19,245",11.98,1.0,74.0,"8,250,121,194,19,245",7.6,11.98
"7.6-208,151,254,41,36,198",11.98,4.0,544.0,"208,151,254,41,36,198",7.6,11.98
"7.6-48,74,38,155,214,98",12.0,12.0,8186.0,"48,74,38,155,214,98",7.6,12.0
"7.6-20,178,229,137,47,142",11.98,5.0,2634.0,"20,178,229,137,47,142",7.6,11.98
"7.6-184,148,54,32,44,55",11.98,5.0,628.0,"184,148,54,32,44,55",7.6,11.98
"7.6-88,198,240,41,58,135",11.98,6.0,283.0,"88,198,240,41,58,135",7.6,11.98
"7.6-36,82,106,59,81,234",3.52,2.0,76.0,"36,82,106,59,81,234",7.6,3.52
"7.6-164,201,57,205,13,69",11.98,4.0,630.0,"164,201,57,205,13,69",7.6,11.98
"7.6-28,54,187,20,163,246",11.98,2.0,94.0,"28,54,187,20,163,246",7.6,11.98
"7.6-212,26,63,183,185,195",3.47,1.0,104.0,"212,26,63,183,185,195",7.6,3.47
"7.6-8,250,121,45,167,67",11.98,2.0,206.0,"8,250,121,45,167,67",7.6,11.98
"7.6-184,55,101,29,72,107",11.98,1.0,1037.0,"184,55,101,29,72,107",7.6,11.98
"7.6-4,207,140,11,128,186",12.0,4.0,947.0,"4,207,140,11,128,186",7.6,12.0
"7.6-208,151,254,40,222,169",11.98,4.0,910.0,"208,151,254,40,222,169",7.6,11.98
"7.6-108,33,162,235,7,87",3.47,2.0,57.0,"108,33,162,235,7,87",7.6,3.47
"7.6-156,95,90,12,124,73",11.98,8.0,730.0,"156,95,90,12,124,73",7.6,11.98
"7.6-28,72,206,164,132,189",3.62,2.0,552.0,"28,72,206,164,132,189",7.6,3.62
"7.6-128,214,5,75,8,213",3.52,4.0,123.0,"128,214,5,75,8,213",7.6,3.52
"7.6-220,240,144,185,104,48",11.97,3.0,161.0,"220,240,144,185,104,48",7.6,11.97
"7.6-112,138,9,131,175,199",12.0,3.0,2406.0,"112,138,9,131,175,199",7.6,12.0
"7.6-220,245,5,135,188,48",3.6,1.0,46.0,"220,245,5,135,188,48",7.6,3.6
"7.6-156,174,211,194,70,96",3.42,1.0,8.0,"156,174,211,194,70,96",7.6,3.42
"7.6-64,68,253,44,108,157",2.27,4.0,109.0,"64,68,253,44,108,157",7.6,2.27
"7.6-48,69,150,180,24,101",12.0,2.0,405.0,"48,69,150,180,24,101",7.6,12.0
"7.6-64,140,31,52,191,11",12.0,4.0,141.0,"64,140,31,52,191,11",7.6,12.0
"7.6-240,27,108,132,118,12",3.55,2.0,36.0,"240,27,108,132,118,12",7.6,3.55
