cluster_num,noise_num,dbcv,silhouette,calinski,eps,min_samples
12,740,0.04860225931291666,0.6806561836979509,814.5464821898199,0.32,9
10,804,-0.21989415533511142,0.7320084566397396,1513.0166440045227,0.32,10
7,877,-0.1808478774138697,0.6767526938549925,801.1436288332344,0.32,11
4,920,-0.4056904240619625,0.6311867619740048,374.0305322225137,0.32,12
2,950,-0.558596633749681,0.5872583010124987,108.89946683631119,0.32,13
1,0,-1.0,-1.0,-1.0,0.32,14
27,395,-0.36705877653034175,0.3573540038924747,503.34878107416597,0.33999999999999997,5
23,479,-0.3421549744040675,0.46625708615225336,761.3694165900833,0.33999999999999997,6
20,568,-0.35925648975113933,0.4654720510009242,514.4376312107495,0.33999999999999997,7
12,639,-0.15561963322460512,0.4048339167035533,326.55807553515933,0.33999999999999997,8
13,679,-0.11323731524389802,0.6289262639241383,1088.7704566356542,0.33999999999999997,9
8,742,-0.10911824493202146,0.6193771018086153,840.0790397289959,0.33999999999999997,10
8,791,-0.07065605035000994,0.7031007580243386,1585.260773315379,0.33999999999999997,11
9,823,-0.14803942560292163,0.6742664153388969,1241.6911640129842,0.33999999999999997,12
3,925,-0.4759479539654088,0.6125140555397635,184.05287920572786,0.33999999999999997,13
2,942,-0.4448987772054872,0.6014822754551945,127.33778397255863,0.33999999999999997,14
24,347,-0.3881587374993162,0.4000404529476172,390.02414646424154,0.36,5
18,426,-0.33701591924905183,0.48019416433986495,425.5145299911525,0.36,6
19,492,-0.47302030254675026,0.45644694908867656,436.99832846570115,0.36,7
14,570,-0.442008258398521,0.3432636414147155,371.40085926944397,0.36,8
15,602,-0.23525286161354717,0.654915806491102,857.0126928030903,0.36,9
11,672,-0.08690485974365994,0.628070993312196,995.5905150176575,0.36,10
8,726,-0.039447846915752156,0.636201816939939,832.9658884180394,0.36,11
6,787,-0.0015103839606386005,0.6067542187803322,655.1283535284629,0.36,12
6,830,-0.13012260944260154,0.6110435365419367,646.5656405008318,0.36,13
6,879,-0.3249883385226599,0.6494861743025625,647.2247648688682,0.36,14
19,313,-0.4022557939783869,0.386944884965604,368.19820123442764,0.38,5
15,373,-0.3822328234954838,0.5229363618335275,305.3921390305375,0.38,6
13,445,-0.45005756749321696,0.5289208822793529,290.2866215666115,0.38,7
14,519,-0.4272141952547452,0.325898693740592,376.44294335092235,0.38,8
15,568,-0.22940713890946451,0.6392176140153472,985.4401945051482,0.38,9
10,631,-0.14545541758738945,0.6682164635845551,800.5226033281455,0.38,10
10,681,-0.13045959989176809,0.6293816338029433,901.1230047448904,0.38,11
7,744,-0.04362552638775167,0.6141843999779587,768.6790496876514,0.38,12
8,768,-0.12427794517660672,0.6659953758334071,1076.3848125174336,0.38,13
6,831,-0.2543326676662252,0.6363883350574119,597.2458047383438,0.38,14
17,297,-0.41696429521155354,0.292112908677853,242.36702793440003,0.4,5
14,340,-0.3604391979788368,0.5548818662268687,314.9761317022334,0.4,6
13,390,-0.4402294963875864,0.5045035104104338,317.21290668449103,0.4,7
9,481,-0.45653735602241374,0.4776979088438659,312.23993278663727,0.4,8
13,521,-0.3780409669997543,0.6242106968655781,1030.7170317926893,0.4,9
11,593,-0.1893182950677241,0.6776457536763377,874.5110218994088,0.4,10
10,630,-0.24420711672105289,0.6498363610793192,704.767573090475,0.4,11
10,677,-0.13578068030562293,0.6213550533737963,964.520516821295,0.4,12
9,716,-0.08298334046330255,0.619712549834068,895.7434247503342,0.4,13
8,774,-0.12075381131049334,0.6485908448066336,1148.6211902329196,0.4,14
14,282,-0.416347680700846,0.33699832459797413,282.9672505172516,0.42000000000000004,5
14,311,-0.39634798363391527,0.49923322073709614,341.9634043722083,0.42000000000000004,6
14,351,-0.39731998583459394,0.46310521859268383,382.61795296119345,0.42000000000000004,7
7,433,-0.22670084239522598,0.5317132743471507,379.09103013388983,0.42000000000000004,8
12,477,-0.4380818864200692,0.4741892477303652,354.20840748144093,0.42000000000000004,9
12,530,-0.4288585574584285,0.47200093409974203,380.684089343922,0.42000000000000004,10
10,575,-0.3513027980819307,0.49867834140637013,330.90831585157457,0.42000000000000004,11
8,642,-0.1633458249566018,0.6503701033148949,707.8717550906946,0.42000000000000004,12
8,661,-0.16594159506981765,0.6417221148954851,626.1567592016366,0.42000000000000004,13
6,742,-0.09270815938016416,0.5986910084719105,834.5715758663482,0.42000000000000004,14
17,247,-0.4265358015963157,0.3804171945523382,271.4706680005839,0.44000000000000006,5
12,292,-0.3582555548063521,0.31458683270328736,275.90406056306034,0.44000000000000006,6
10,328,-0.38294042412504836,0.4844805448878531,396.89303348561936,0.44000000000000006,7
10,372,-0.40275800315951443,0.4398860028436966,343.86619424474776,0.44000000000000006,8
8,437,-0.31300349770176195,0.44294389528305556,361.26720110997155,0.44000000000000006,9
9,487,-0.49413859114703496,0.4146908154896039,349.28746181553447,0.44000000000000006,10
12,521,-0.42597200067394164,0.4501410723102307,405.5023278144321,0.44000000000000006,11
9,592,-0.446885031223897,0.47783655793572294,241.91869565216535,0.44000000000000006,12
8,631,-0.15543143997098513,0.6487247102835453,744.2387394335724,0.44000000000000006,13
5,697,-0.26647744069133317,0.6250668332841421,678.3791137604871,0.44000000000000006,14
19,226,-0.4216299734877609,0.39559918746664874,296.3825071614436,0.45999999999999996,5
13,269,-0.370532853153984,0.31740676472858287,274.3733930160377,0.45999999999999996,6
9,305,-0.37153742312837107,0.38937139511442226,278.35099338869173,0.45999999999999996,7
9,348,-0.41681602037570636,0.4389361059758801,372.68007665753737,0.45999999999999996,8
9,389,-0.39158918339019855,0.43112369994764477,344.69495323082685,0.45999999999999996,9
9,425,-0.4328932616110635,0.4450614084149706,315.1003939833681,0.45999999999999996,10
10,474,-0.490206131690634,0.4005328206413073,331.4692875835866,0.45999999999999996,11
