mac,数据量,平均活跃时刻,移动距离,中间时刻,持续时间,id,cluster
"7.8-248,45,124,72,127,16",2.1794871794871797,1.7295275614846415,0.0,5.287412901966443,9.760377096266097,0,1
"7.8-20,94,105,93,76,199",0.5128205128205128,2.6320400176243424,2.114334178084266,5.2300406528215095,9.601477809691465,0,1
"7.8-164,204,185,229,56,107",1.0256410256410255,3.169990237496653,1.6201043990993804,5.4897434374124785,9.533609747058277,0,1
"7.8-112,58,81,118,159,27",0.0,4.641090635772232,0.0,4.8286046491890655,7.735453534698415,0,1
"7.8-156,116,3,24,100,145",1.5384615384615385,2.3770054168934514,4.143957674949263,4.47622361597936,5.629458908551838,0,2
"7.8-60,134,209,115,214,231",1.153846153846154,2.8406803315130817,3.7442827862645505,2.515297851935465,0.8005188548133045,0,2
"7.8-8,74,207,163,234,79",1.6666666666666665,3.670166226820407,4.242854113869732,3.8413097167881722,0.01992031872509901,0,0
"7.9-48,74,38,155,214,98",5.512820512820513,1.8741465346054187,0.19880254031077407,5.1479711780831225,9.999536736773836,0,1
"7.9-48,74,38,133,29,213",1.4102564102564101,3.292940414172045,0.0,5.14788630789208,9.999420920967294,0,1
"7.9-92,102,108,72,204,105",2.8205128205128203,2.110499841500542,0.0,4.580019859624704,9.22449735939961,0,1
"7.9-108,135,25,15,123,144",2.051282051282051,1.883258429878445,3.1652918429369055,0.5890839960280749,3.777911609376447,0,2
"7.9-156,95,90,12,124,73",1.9230769230769231,3.670490275919174,0.37155578889977064,5.148140918465208,9.999305105160753,0,1
"7.9-8,250,121,45,167,67",3.58974358974359,3.6128813207889476,9.220641539533332,4.392626477802201,8.967849532104141,0,0
"7.9-112,138,9,131,175,199",0.2564102564102564,5.182966591504031,0.0,5.148565269420422,9.999420920967294,0,1
"7.9-20,178,229,137,47,142",1.153846153846154,4.6494067734095745,0.0,5.148565269420422,9.998726026128047,0,1
"7.9-220,240,144,185,104,48",2.051282051282051,6.848056397895449,0.45611502074856364,5.133034024459589,9.97730010191791,0,1
"7.9-164,204,185,229,56,107",1.153846153846154,3.2503816946084267,1.8010359136940515,5.140672341653442,9.987491892893539,0,1
"7.9-8,74,207,99,147,223",2.051282051282051,1.482700671280098,0.0,5.13125175044769,9.974173075141294,0,1
"7.9-64,140,31,52,191,11",2.564102564102564,4.698677310387131,0.4613147824682207,5.141945394519083,9.988534235152413,0,1
"7.9-60,134,209,115,214,231",5.512820512820513,1.8711889979105567,7.881930070777338,5.112665178609318,9.947419623830259,0,0
"7.9-208,151,254,40,222,169",0.5128205128205128,0.8735453438042664,0.0,1.2576064908722109,4.683707032335773,0,2
"7.9-128,214,5,75,8,213",2.692307692307692,2.6995018531477606,0.6363902547378409,5.155270014512803,9.971277679977762,0,1
"7.9-104,74,174,67,128,132",1.5384615384615385,2.64910452790089,2.8306897004331444,3.3555976134502288,6.820045399796163,0,2
"7.9-184,148,54,32,44,55",2.4358974358974357,4.204564073612057,0.26907504821138284,5.542702436623185,9.460645788937274,0,1
"7.9-20,94,105,93,76,199",1.153846153846154,4.096235288957473,1.2689942752137955,5.524030994593768,9.337417770777355,0,1
"7.9-160,48,74,38,155,214",1.4102564102564101,4.219535719531055,5.458336278182204,5.818954908467498,8.770036134531642,0,0
"7.9-108,217,76,95,253,145",1.4102564102564101,2.637010773311217,4.156275557081266,5.42371442878118,7.832507180580005,0,1
"7.9-40,53,69,96,185,108",0.641025641025641,4.593092524917423,0.0,6.808795946599676,7.413948855739831,0,1
"7.9-156,116,3,40,83,167",0.38461538461538464,3.711384362469037,1.5134840422846634,3.986098262707189,0.5753729268970624,0,2
"7.10-112,138,9,131,175,199",0.0,4.386470725449032,0.0,5.1482257886562515,9.999884184193458,0,1
"7.10-252,107,240,89,142,53",0.38461538461538464,6.45665855798816,0.0,5.1482257886562515,9.999884184193458,0,1
"7.10-36,17,69,161,50,93",0.0,4.7179742373584235,0.0,4.9105892537364095,9.675136662651717,0,1
"7.10-184,148,54,32,44,55",1.153846153846154,7.833756995408501,0.0,5.148650139611465,9.999536736773836,0,1
"7.10-48,74,38,155,214,98",4.615384615384616,2.0116382862918902,0.0,5.1487350098025075,9.999189289354211,0,1
"7.10-48,74,38,133,29,213",0.8974358974358975,3.85045321420409,0.0,5.1484803992293795,9.998841841934588,0,1
"7.10-32,50,51,210,96,61",0.8974358974358975,2.515014384573518,0.0,5.1484803992293795,9.998841841934588,0,1
"7.10-184,55,101,29,72,107",5.256410256410256,4.115243846599109,1.4881415142917718,5.052322472777886,9.867390901510237,0,1
"7.10-248,45,124,72,127,16",7.435897435897436,5.432281140030753,0.0,5.119454793892741,9.957611414805891,0,1
"7.10-48,69,150,180,24,101",0.641025641025641,5.756787531641743,0.0,5.144915851205583,9.992356156768276,0,1
"7.10-124,125,61,133,174,241",0.2564102564102564,6.275344063447633,0.38392415415526576,5.125989798603038,9.966065968683406,0,1
"7.10-172,115,82,76,172,89",4.743589743589744,6.655089218491909,1.0921518936219619,5.0877133424427345,9.912906513480959,0,1
"7.10-4,207,140,11,128,186",0.8974358974358975,5.497226522279007,0.0,5.13973876955197,9.981353655146854,0,1
"7.10-240,103,40,135,90,171",3.2051282051282053,5.105851335276301,4.117655967610026,5.145425072351838,9.988650050958952,0,1
"7.10-208,151,254,41,36,198",2.8205128205128203,3.4023752988063687,0.0,5.14517046177871,9.985291392569257,0,1
"7.10-88,198,240,41,58,135",5.256410256410256,4.546426031038426,0.7217572165625029,5.151790336680049,9.991313814509402,0,1
"7.10-8,74,207,99,147,223",5.0,3.4808534183930884,0.6119564229678016,5.1089308902034345,9.931900305753729,0,1
"7.10-8,250,121,183,224,101",0.641025641025641,5.465693296126389,0.0,4.758501871387713,9.436556101176688,0,1
"7.10-8,250,121,45,167,67",1.5384615384615385,5.7394189150662225,0.0,5.161380668267884,9.960159362549799,0,1
"7.10-20,94,105,93,76,199",1.9230769230769231,2.5239716973796753,0.0,5.179203408386872,9.887427036041878,0,1
"7.10-204,129,42,183,42,73",4.3589743589743595,5.062086520242759,4.017093585614328,5.177506004566014,9.877698508292411,0,1
"7.10-124,218,195,126,234,181",0.641025641025641,1.2256773996607604,0.0,5.182683086219627,9.846544056332808,0,1
"7.10-48,74,38,155,86,98",1.9230769230769231,5.185480924923303,7.1313974738245,4.6693033006017295,9.105438710275177,0,0
"7.10-208,151,254,40,222,169",2.8205128205128203,6.452314789893517,0.6441646557555807,5.279519974199464,9.80867228759381,0,1
"7.10-104,74,174,67,128,132",3.2051282051282053,4.549113733312956,5.304362751532161,5.040101165267722,9.332321875289539,0,0
"7.10-108,217,76,95,253,145",2.948717948717949,5.2958852536283025,4.4956231131932585,5.006747180187903,9.281941999444083,0,1
"7.10-48,74,36,155,214,98",1.282051282051282,4.714354582514135,4.388094060155689,2.9446561484209903,6.200430834800334,0,0
"7.10-252,190,123,146,220,35",1.5384615384615385,5.847300624627428,0.0,5.435596255527171,9.579704438061706,0,1
"7.10-48,74,38,153,214,98",1.4102564102564101,5.443945088078515,7.223529174197065,5.182343605455458,8.641596405077363,0,0
"7.10-48,74,54,155,214,98",2.692307692307692,5.289425912966852,10.0,5.855194480042776,8.195937181506531,0,0
"7.10-156,116,3,24,100,145",4.487179487179487,6.377908697666104,3.273628625950344,5.092975294287387,7.0193644028537,0,0
"7.10-48,74,38,155,214,114",1.6666666666666665,6.870200377795158,6.446291004917057,5.717025809025095,7.573079773927544,0,0
"7.10-76,24,154,44,218,251",3.974358974358974,8.175306222947928,3.840251204022494,6.171251071486161,6.866603354025757,0,0
"7.10-48,74,6,133,29,213",0.8974358974358975,6.045160727875914,1.7519663176600055,5.871234946149864,5.868386917446492,0,0
"7.10-156,245,49,209,69,163",4.102564102564102,7.5814437561735595,8.37949173591268,6.165734509068381,6.262623922912999,0,0
"7.10-188,106,209,65,143,224",3.4615384615384617,6.496240279648485,9.168341023595811,5.764722856391151,5.084198091355509,0,0
"7.10-28,209,7,152,33,91",0.7692307692307693,4.039714900344713,0.0,6.991606338105867,6.7086305939034565,0,1
"7.10-48,66,38,155,214,98",1.5384615384615385,5.166254568074021,3.914814777419908,5.2106053790727085,3.8175206152135632,0,0
"7.10-48,74,102,155,214,98",1.153846153846154,5.793084638710951,7.54828710761992,6.108871481069704,5.00370610580932,0,0
"7.10-48,74,39,155,214,98",1.4102564102564101,5.838243786123422,4.228163524933613,6.725708029568774,4.90943203928472,0,0
