mac,数据量,平均活跃时刻,移动距离,中间时刻,持续时间,id,cluster
"7.11-184,55,101,29,72,107",2.1052631578947367,8.664790526111215,0.7791465356046862,7.229281836028948,6.207465792441205,1,1
"7.11-176,223,193,193,47,17",1.6842105263157894,8.471961569177639,6.055913073511957,7.034441971069729,4.482730559527547,1,1
"7.11-12,75,84,85,61,8",1.1578947368421053,8.813538431227041,3.8396766855504967,8.888295644031178,0.4888454876248257,1,1
"7.12-32,50,51,210,96,61",0.10526315789473684,4.547910647204898,0.0,4.514091390739357,9.94722096281054,1,0
"7.12-124,218,195,126,234,181",1.368421052631579,4.942175372250317,0.0,4.517705620949393,9.951173577930454,1,0
"7.12-24,2,174,207,62,51",3.0526315789473686,4.735652779446305,0.7201924642007852,4.451006645255091,9.847010544182098,1,0
"7.12-184,148,54,32,44,55",2.526315789473684,4.966648208279331,0.0,4.539226719018243,9.964193957149002,1,0
"7.12-88,198,240,41,58,135",3.7894736842105265,7.1721171230229395,3.4416076795121704,4.486820380972721,9.890024296957648,1,0
"7.12-64,68,253,44,108,157",3.0526315789473686,4.4292160219654235,1.7519482633361259,4.537501745508909,9.954079912577452,1,0
"7.12-8,250,121,45,167,67",2.631578947368421,3.2430489705773686,0.0,4.553930064645435,9.93919947918483,1,0
"7.12-48,74,38,133,29,213",0.42105263157894735,4.129468035769145,0.0,4.558201427620933,9.924086539020449,1,0
"7.12-104,160,62,174,96,98",0.10526315789473684,6.1750635906068,0.0,4.533558948916141,9.87712017112498,1,0
"7.12-104,74,174,67,128,132",1.7894736842105263,4.826461208024389,0.5242743885251955,4.548919427308795,9.784233715806971,1,0
"7.12-132,65,103,218,221,212",1.4736842105263157,5.270971382375245,0.25693653207141187,4.580954649625023,9.817249677396852,1,0
"7.12-208,151,254,41,36,162",2.4210526315789473,6.293921238110428,1.0986498128158608,4.4847668410806545,9.650891082202765,1,0
"7.12-28,209,7,152,33,91",1.8947368421052633,5.775411508704079,0.0,4.944431210520694,7.246771062207186,1,0
"7.12-164,201,57,205,13,69",0.8421052631578947,6.716353965527046,0.552381784184429,5.005133849730164,5.786977295713738,1,1
"7.12-172,146,50,67,121,50",5.684210526315789,7.243292032632789,5.4455697107082015,4.497909496389878,4.737790488147967,1,1
"7.12-208,110,152,171,43,95",1.368421052631579,3.7062019298198345,5.439813252557655,4.138704298469702,2.996431021053488,1,2
"7.12-164,125,159,153,152,107",0.7368421052631579,5.813102411083859,1.5332028536152544,6.025250326512842,3.552935979260395,1,1
"7.12-100,71,205,135,160,247",0.42105263157894735,7.170853643265684,2.534350175274226,7.016124395232501,1.1731129169137051,1,1
"7.13-184,148,54,32,44,55",0.8421052631578947,9.092907923879066,3.1739522253673225,8.578868253094683,4.219997907439053,1,1
"7.14-132,65,103,218,221,212",3.0526315789473686,5.435998644244445,0.5789805908111049,4.52821974519677,9.966751531638357,1,0
"7.14-184,148,54,32,44,55",6.526315789473685,5.1564945695289,1.2171931510057923,4.551547958370639,9.9988374661412,1,0
"7.14-124,218,195,126,234,181",0.8421052631578947,1.6689798056799245,0.0,4.524030523816955,9.950127297457536,1,0
"7.14-112,138,9,131,175,199",0.21052631578947367,4.819371920557151,0.0,4.543826648376472,9.944663388321183,1,0
"7.14-172,115,82,76,172,89",5.894736842105263,7.372664853878986,4.910774898666487,4.577176136223623,9.962566409746684,1,0
"7.14-24,2,174,207,62,51",4.842105263157895,5.218809284934728,0.0,3.8819296703657766,8.92395866029598,1,0
"7.14-8,250,121,45,167,67",1.1578947368421053,4.875798430813105,0.0,4.600750774184538,9.908043571769028,1,0
"7.14-248,195,158,150,36,116",2.4210526315789473,5.025704135887153,2.2653846306537355,1.6591780911935996,5.743266022622909,1,2
