m,trajs,cluster
"7.6-64,140,31,52,191,11+22","[[832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]",0
"7.6-64,140,31,52,191,11+23","[[877, 4], [878, 0], [878, 4]]",0
"7.6-64,140,31,52,191,11+24","[[879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0], [879, 0]]",0
"7.6-140,206,78,224,75,99+2","[[789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0]]",0
"7.6-140,206,78,224,75,99+8","[[789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0]]",0
"7.6-164,125,159,153,152,106+1","[[420, 1], [460, 0], [460, 3], [459, 0], [459, 1], [499, 0], [499, 0], [499, 4], [500, 1], [540, 4], [541, 0], [541, 4], [542, 1], [582, 0], [582, 4], [583, 1], [623, 0], [623, 0], [623, 1], [663, 4], [664, 0], [664, 4], [665, 0], [665, 4], [666, 1], [706, 0], [706, 1], [746, 4], [747, 0], [747, 1], [787, 4]]",0
"7.6-164,125,159,153,152,106+3","[[503, 0], [503, 0], [503, 0], [503, 0], [503, 0]]",0
"7.6-164,125,159,153,152,106+5","[[503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0], [503, 0]]",0
"7.6-20,94,105,93,76,199+5","[[877, 0], [877, 0], [877, 0], [877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3]]",0
"7.6-20,94,105,93,76,199+6","[[832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4]]",0
