m,trajs,cluster
"7.8-64,140,31,142,167,149+2","[[3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0], [3500, 0]]",2
"7.8-8,250,121,45,167,67+2","[[3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0]]",2
"7.8-8,250,121,45,167,67+5","[[3097, 4], [3098, 4], [3099, 1], [3179, 0], [3179, 1], [3259, 4], [3260, 4], [3261, 1], [3341, 0], [3341, 4], [3342, 4], [3343, 4], [3344, 0], [3344, 4], [3345, 4], [3346, 4], [3347, 0], [3347, 4], [3348, 0], [3348, 1], [3428, 4], [3429, 0], [3429, 4], [3430, 4], [3431, 4], [3432, 0], [3432, 4], [3433, 4], [3434, 4], [3435, 0], [3435, 4], [3436, 4], [3437, 0], [3437, 4], [3438, 4], [3439, 1]]",2
"7.8-220,114,155,222,161,114+1","[[2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0], [2608, 0]]",2
"7.8-220,114,155,222,161,114+4","[[1641, 1], [1721, 1], [1801, 3], [1800, 0], [1800, 4], [1801, 4], [1802, 1], [1882, 0], [1882, 4], [1883, 4], [1884, 0], [1884, 4], [1885, 1], [1965, 1], [2045, 4], [2046, 0], [2046, 4], [2047, 4], [2048, 0], [2048, 1], [2128, 0], [2128, 4], [2129, 1], [2209, 0], [2209, 4], [2210, 4], [2211, 1], [2291, 0], [2291, 4], [2292, 0], [2292, 4], [2293, 0], [2293, 4], [2294, 0], [2294, 1], [2374, 4], [2375, 0]]",2
"7.8-220,114,155,222,161,114+5","[[2375, 0], [2375, 2], [2295, 3], [2294, 0], [2294, 3], [2293, 0], [2293, 3], [2292, 0], [2292, 3], [2291, 0], [2291, 3], [2290, 2], [2210, 3], [2209, 0], [2209, 3], [2208, 2], [2128, 0], [2128, 2], [2048, 0], [2048, 3], [2047, 3], [2046, 0], [2046, 2], [1966, 3], [1965, 2], [1885, 3], [1884, 0], [1884, 3], [1883, 3], [1882, 0], [1882, 3], [1881, 3], [1880, 2], [1800, 0], [1800, 2], [1720, 2], [1640, 4]]",2
"7.8-220,114,155,222,161,114+10","[[1641, 1], [1721, 1], [1801, 3], [1800, 0], [1800, 4], [1801, 4], [1802, 1], [1882, 0], [1882, 4], [1883, 4], [1884, 0], [1884, 4], [1885, 1], [1965, 4], [1966, 1], [2046, 0], [2046, 4], [2047, 4], [2048, 0], [2048, 1], [2128, 0], [2128, 1], [2208, 4], [2209, 0], [2209, 4], [2210, 4], [2211, 1], [2291, 0], [2291, 4], [2292, 0], [2292, 4], [2293, 0], [2293, 4], [2294, 0], [2294, 1], [2374, 4], [2375, 0]]",2
"7.8-220,114,155,222,161,114+11","[[2375, 0], [2375, 3], [2374, 2], [2294, 0], [2294, 3], [2293, 0], [2293, 3], [2292, 0], [2292, 3], [2291, 0], [2291, 3], [2290, 3], [2289, 2], [2209, 0], [2209, 2], [2129, 3], [2128, 0], [2128, 2], [2048, 0], [2048, 3], [2047, 3], [2046, 0], [2046, 3], [2045, 2], [1965, 2], [1885, 3], [1884, 0], [1884, 3], [1883, 3], [1882, 0], [1882, 3], [1881, 2], [1801, 3], [1800, 0], [1800, 2], [1720, 2], [1640, 4]]",2
"7.8-220,114,155,222,161,114+12","[[1641, 1], [1721, 3], [1720, 1], [1800, 0], [1800, 1], [1880, 3], [1879, 0], [1879, 1], [1959, 3], [1958, 1], [2038, 0], [2038, 4], [2039, 0], [2039, 4], [2040, 1], [2120, 4], [2121, 4], [2122, 1], [2202, 0], [2202, 4], [2203, 1], [2283, 4], [2284, 1], [2364, 0], [2364, 4], [2365, 1], [2445, 4], [2446, 0], [2446, 4], [2447, 1]]",2
"7.8-220,114,155,222,161,114+13","[[2527, 2], [2447, 3], [2446, 0], [2446, 3], [2445, 3], [2444, 2], [2364, 0], [2364, 2], [2284, 3], [2283, 3], [2282, 2], [2202, 0], [2202, 3], [2201, 2], [2121, 3], [2120, 2], [2040, 3], [2039, 0], [2039, 3], [2038, 0], [2038, 2], [1958, 2], [1878, 4], [1879, 0], [1879, 4], [1880, 2], [1800, 0], [1800, 2], [1720, 4], [1721, 2]]",2
"7.8-220,114,155,222,161,114+14","[[1641, 1], [1721, 3], [1720, 1], [1800, 0], [1800, 1], [1880, 3], [1879, 0], [1879, 1], [1959, 3], [1958, 1], [2038, 0], [2038, 4], [2039, 0], [2039, 4], [2040, 1], [2120, 4], [2121, 4], [2122, 1], [2202, 0], [2202, 4], [2203, 1], [2283, 4], [2284, 1], [2364, 0], [2364, 4], [2365, 4], [2366, 1], [2446, 0], [2446, 1], [2526, 4]]",2
"7.8-220,114,155,222,161,114+15","[[2527, 3], [2526, 2], [2446, 0], [2446, 3], [2445, 2], [2365, 3], [2364, 0], [2364, 2], [2284, 3], [2283, 2], [2203, 3], [2202, 0], [2202, 2], [2122, 3], [2121, 3], [2120, 2], [2040, 3], [2039, 0], [2039, 3], [2038, 0], [2038, 2], [1958, 4], [1959, 2], [1879, 0], [1879, 4], [1880, 2], [1800, 0], [1800, 2], [1720, 4], [1721, 2]]",2
"7.8-220,114,155,222,161,114+16","[[1641, 1], [1721, 3], [1720, 1], [1800, 0], [1800, 3], [1799, 1], [1879, 0], [1879, 1], [1959, 3], [1958, 1], [2038, 0], [2038, 4], [2039, 0], [2039, 4], [2040, 1], [2120, 4], [2121, 4], [2122, 1], [2202, 0], [2202, 1], [2282, 4], [2283, 1], [2363, 4], [2364, 0], [2364, 4], [2365, 4], [2366, 1], [2446, 0], [2446, 1], [2526, 4]]",2
"7.8-220,114,155,222,161,114+17","[[2527, 2], [2447, 3], [2446, 0], [2446, 3], [2445, 2], [2365, 3], [2364, 0], [2364, 2], [2284, 3], [2283, 3], [2282, 2], [2202, 0], [2202, 2], [2122, 3], [2121, 3], [2120, 3], [2119, 2], [2039, 0], [2039, 3], [2038, 0], [2038, 2], [1958, 4], [1959, 2], [1879, 0], [1879, 2], [1799, 4], [1800, 0], [1800, 2], [1720, 4], [1721, 2]]",2
