wifi_a,wifi_b,count,distance,meanTime,maxSpeed
120.0,5.0,2.0,44.14,1.0,44.14
5.0,84.0,1.0,58.5,7.0,8.357142857142858
88.0,69449.0,1.0,24.97,1.0,24.97
69449.0,14604.0,1.0,47.13,23880.0,0.0019736180904522615
14604.0,95.0,2.0,25.36,16500.5,0.2370093457943925
88.0,74560.0,1.0,10.78,1.0,10.78
74560.0,99.0,2.0,137.15,19.5,15.238888888888889
74560.0,5.0,1.0,80.82,3.0,26.939999999999998
88.0,13632.0,1.0,83.98,1.0,83.98
13632.0,61873.0,1.0,51.24,5.0,10.248000000000001
61873.0,90828.0,1.0,85.42,0.0,170.84
90828.0,90878.0,1.0,44.41,2.0,22.205
90878.0,13632.0,1.0,32.45,1.0,32.45
13632.0,31812.0,1.0,22.47,3.0,7.489999999999999
31812.0,90878.0,1.0,10.0,1.0,10.0
90878.0,54171.0,5.0,49.66,1.8,49.66
54171.0,80696.0,3.0,20.25,15.0,40.5
80696.0,6400.0,4.0,55.95,486.25,111.9
80696.0,120.0,2.0,64.87,1.5,64.87
80696.0,83212.0,2.0,119.87,1.5,119.87
80696.0,16261.0,1.0,9.22,2198.0,0.0041947224749772525
16261.0,83212.0,4.0,128.36,2.0,256.72
16261.0,57174.0,2.0,2.0,1551.5,0.019801980198019802
57174.0,83212.0,2.0,129.29,1.5,258.58
57174.0,120.0,2.0,75.43,1.0,75.43
16261.0,10871.0,1.0,55.15,2509.0,0.02198086887206058
10871.0,83212.0,2.0,73.57,2.0,147.14
10871.0,120.0,2.0,30.3,1.0,30.3
10871.0,88735.0,5.0,25.5,0.8,51.0
88735.0,16261.0,1.0,79.65,29573.0,0.0026933351367801712
16261.0,84.0,1.0,88.6,18370.0,0.00482308111050626
84.0,101.0,1.0,29.03,10036.0,0.0028925866879234755
101.0,16261.0,1.0,102.52,1.0,102.52
95.0,5315.0,1.0,20.55,861.0,0.023867595818815333
5315.0,88.0,4.0,72.81,5.0,72.81
5315.0,49.0,4.0,62.64,4.5,62.64
95.0,5315.0,1.0,20.55,10897.0,0.0018858401394879324
5315.0,22.0,8.0,138.33,3048.0,69.165
22.0,88.0,2.0,202.54,3.0,67.51333333333334
88.0,5315.0,2.0,72.81,2.0,36.405
5315.0,27281.0,8.0,135.72,2.5,67.86
27281.0,120.0,2.0,87.21,2.0,43.605
27281.0,32.0,4.0,81.87,488.0,27.290000000000003
32.0,5315.0,5.0,67.38,109.6,22.459999999999997
32.0,99.0,2.0,27.73,6.5,5.546
32.0,84.0,3.0,57.42,14.666666666666666,14.355
5315.0,84.0,1.0,65.56,1.0,65.56
5315.0,13.0,1.0,95.68,2.0,47.84
13.0,22.0,1.0,223.94,2.0,111.97
5315.0,99.0,2.0,77.41,145.5,25.80333333333333
22.0,5.0,1.0,121.22,33122.0,0.003659803151983576
5.0,5315.0,1.0,18.86,9.0,2.0955555555555554
95.0,9181.0,1.0,26.29,26.0,1.011153846153846
9181.0,40894.0,1.0,5.1,4330.0,0.0011778290993071593
40894.0,29132.0,1.0,10.0,2696.0,0.00370919881305638
29132.0,99.0,6.0,114.24,3.6666666666666665,114.24
5.0,52175.0,1.0,26.4,11.0,2.4
52175.0,83044.0,1.0,30.81,3.0,10.27
83044.0,33389.0,1.0,30.15,58050.0,0.0005193798449612402
31812.0,88.0,2.0,97.37,13.0,13.91
31812.0,76845.0,1.0,22.83,2368.0,0.009641047297297296
76845.0,25019.0,3.0,38.59,5.666666666666667,19.295
25019.0,22.0,5.0,130.36,4.0,65.18
22.0,88.0,1.0,202.54,3.0,67.51333333333334
88.0,76845.0,3.0,75.33,3.6666666666666665,37.665
76845.0,20954.0,2.0,38.48,3047.0,0.02094719651605879
76845.0,86499.0,1.0,19.7,798.0,0.024686716791979948
86499.0,22.0,6.0,128.69,16.5,64.345
86499.0,25019.0,3.0,19.21,43.666666666666664,1.372142857142857
22.0,5.0,1.0,121.22,9.0,13.46888888888889
5.0,25019.0,1.0,29.46,13.0,2.266153846153846
25019.0,120.0,1.0,67.87,0.0,135.74
