wifi_a,wifi_b,count,distance,meanTime,maxSpeed
5.0,95.0,61.0,39.38,188.9016393442623,7.876
95.0,99.0,4.0,97.82,181.0,1.4176811594202898
99.0,5.0,4.0,59.06,135.5,19.686666666666667
95.0,22.0,2.0,157.9,182.5,1.23359375
49.0,84.0,19.0,60.58,112.21052631578948,30.29
84.0,95.0,2.0,76.73,13.0,7.673
49.0,101.0,5.0,54.17,332.4,1.1525531914893616
101.0,95.0,2.0,90.35,39.0,2.5814285714285714
101.0,84.0,1.0,29.03,32.0,0.9071875
49.0,95.0,4.0,55.08,378.0,0.5296153846153846
13.0,95.0,31.0,76.05,274.61290322580646,25.349999999999998
13.0,5.0,8.0,114.24,41.75,228.48
5.0,95.0,4.0,39.38,283.0,6.5633333333333335
13.0,88.0,15.0,22.87,94.06666666666666,4.574
95.0,88.0,1.0,53.3,1.0,53.3
5.0,95.0,301.0,39.38,268.13953488372096,19.69
5.0,49.0,1.0,73.03,419.0,0.17429594272076374
49.0,95.0,1.0,55.08,435.0,0.1266206896551724
95.0,13.0,3.0,76.05,285.6666666666667,9.50625
13.0,88.0,11.0,22.87,43.90909090909091,11.435
95.0,88.0,3.0,53.3,5.333333333333333,17.766666666666666
95.0,88.0,55.0,53.3,175.6,106.6
88.0,92.0,2.0,149.17,39.0,6.485652173913043
95.0,92.0,2.0,156.67,6.5,78.335
88.0,49.0,1.0,82.73,9.0,9.192222222222222
49.0,95.0,3.0,55.08,5.666666666666667,13.77
49.0,84.0,14.0,60.58,57.642857142857146,121.16
49.0,95.0,5.0,55.08,463.6,1.4123076923076923
49.0,101.0,2.0,54.17,429.0,0.660609756097561
95.0,84.0,1.0,76.73,23590.0,0.003252649427723612
95.0,22.0,3.0,157.9,519.6666666666666,52.63333333333333
22.0,32.0,5.0,88.88,614.0,177.76
22.0,5.0,3.0,121.22,840.3333333333334,1.0101666666666667
5.0,32.0,2.0,48.84,46.0,16.28
32.0,95.0,2.0,87.51,22592.5,0.09299681190223168
95.0,5.0,4.0,39.38,596.0,5.625714285714286
5.0,99.0,5.0,59.06,815.6,14.765
99.0,120.0,2.0,40.56,2.0,20.28
120.0,22.0,2.0,86.98,4.5,21.745
22.0,99.0,1.0,64.39,6.0,10.731666666666667
32.0,99.0,2.0,27.73,187.0,0.5437254901960784
95.0,88.0,2.0,53.3,136.5,0.6922077922077922
95.0,5.0,494.0,39.38,23.072874493927124,13.126666666666667
95.0,88.0,16.0,53.3,24.75,26.65
95.0,49.0,6.0,55.08,17.333333333333332,55.08
88.0,5.0,2.0,91.38,11.5,18.276
22.0,5.0,3.0,121.22,261.3333333333333,40.406666666666666
22.0,120.0,65.0,86.98,955.3538461538461,86.98
120.0,99.0,40.0,40.56,94.375,40.56
99.0,22.0,56.0,64.39,192.625,12.878
99.0,5.0,2.0,59.06,6.5,19.686666666666667
120.0,5.0,1.0,44.14,1.0,44.14
99.0,33.0,2.0,55.62,7.0,9.27
13.0,88.0,36.0,22.87,31.083333333333332,22.87
88.0,95.0,31.0,53.3,335.06451612903226,106.6
95.0,13.0,24.0,76.05,27.625,12.674999999999999
13.0,5.0,1.0,114.24,28.0,4.08
5.0,88.0,1.0,91.38,66137.0,0.0013816774271587764
84.0,33.0,1.0,130.17,1561.0,0.08338885329916719
33.0,22.0,2.0,24.53,0.0,49.06
33.0,120.0,1.0,88.04,515.0,0.17095145631067962
120.0,99.0,1.0,40.56,533.0,0.07609756097560975
99.0,5.0,4.0,59.06,6.5,19.686666666666667
49.0,101.0,3.0,54.17,114.0,18.05666666666667
101.0,5.0,1.0,82.63,46.0,1.796304347826087
5.0,95.0,1.0,39.38,7.0,5.625714285714286
99.0,22.0,5.0,64.39,150.0,9.198571428571428
22.0,120.0,1.0,86.98,568.0,0.15313380281690142
120.0,99.0,3.0,40.56,142.66666666666666,40.56
99.0,33.0,1.0,55.62,96.0,0.579375
33.0,22.0,15.0,24.53,15.466666666666667,49.06
22.0,5.0,2.0,121.22,6.5,40.406666666666666
95.0,49.0,4.0,55.08,23.0,18.36
95.0,88.0,2.0,53.3,0.0,106.6
88.0,99.0,1.0,147.2,5.0,29.439999999999998
99.0,5.0,2.0,59.06,1.0,59.06
5.0,22.0,5.0,121.22,10.2,30.305
22.0,88.0,1.0,202.54,3.0,67.51333333333334
95.0,99.0,1.0,97.82,5.0,19.564
5.0,95.0,5.0,39.38,14.2,7.876
22.0,84.0,2.0,146.05,3.0,48.68333333333334
84.0,95.0,3.0,76.73,5.333333333333333,76.73
95.0,120.0,2.0,73.6,4.0,18.4
120.0,5.0,2.0,44.14,1.0,44.14
5.0,84.0,1.0,58.5,7.0,8.357142857142858
88.0,95.0,262.0,53.3,9.736641221374045,106.6
88.0,13.0,596.0,22.87,10.342281879194632,22.87
95.0,13.0,140.0,76.05,18.17142857142857,25.349999999999998
88.0,99.0,2.0,147.2,19.5,16.355555555555554
88.0,5.0,1.0,91.38,3.0,30.459999999999997
88.0,95.0,1251.0,53.3,1.6402877697841727,106.6
