wifi,X,Y,parents,ID,restored_x,restored_y,children,activated
31591,259.0,167.0,33:95,1_virtual,253.54014,169.247201,96699:54467:95198:82522:18372:88758:23417:19509:76672:74028:70420:80825:14602:95239:56326:61673:39877:28949:41057:95390:74402:75892:8172:97323:39564:54615:80268:16637:30011:1122:51331:49140:94826:84036:52189:60280:39074:87620:39662:74089:61407:56499:77573:56699:51537:98115:2278:61936:66309:52302:71998:41619:77348:25313:8225:21847:54390:88928:14159:71799:57560:79400:60700:77854:74158:62875:39404:91564:79615:28779:99724:31108:56140:45722:94430:27364:95707:70433:77956:91468:21002:34310:61936:92736:73053:52171:12728:94878:51407:80093:16953:25996:19965:19891:50973:36520:43180:48678:28779:86406:24265:42628:68500:36947:94180:95809:26165:86406:69322:70006:25466:19260:83955:88007:80648:4271:27199:79910:73944:52903:67575:57369:8994:34516:12898:,1
79694,315.0,226.0,88:84,1_virtual,313.670121,231.954107,7896:63279:96568:95830:46097:11724:94543:,1
54272,200.0,114.0,33:22,1_virtual,202.551192,111.362838,36869:,1
2757,313.0,193.0,88:99:95,1_virtual,302.353193,188.696934,90481:70885:51768:1649:77653:95728:62742:26648:48702:43280:57397:58597:88033:13508:75532:4922:60438:96662:36119:67843:10826:10077:92180:91761:44091:62742:93047:82111:5429:45876:92424:52476:,1
82676,272.0,231.0,101:5,1_virtual,272.978859,230.360559,2266:69642:,1
64120,231.0,186.0,101:22,1_virtual,227.235674,189.679284,53696:,1
91297,290.0,239.0,101:95,1_virtual,290.842493,240.474494,91297:58126:96018:62070:94080:71317:13247:87727:,1
59163,288.0,225.0,84:95,1_virtual,281.103199,222.600773,34382:79489:34399:98941:95943:,1
62572,246.0,199.0,99:84,1_virtual,246.268762,200.090895,44938:64676:86261:36798:,1
78028,275.0,210.0,49:99,1_virtual,273.744884,211.031755,17196:17385:70547:64245:,1
32446,299.0,227.0,49:5,1_virtual,301.552546,226.93547,31992:77015:1281:82139:78968:65873:86557:74735:86584:54635:,1
29230,242.0,126.0,120:22,1_virtual,241.498669,125.513793,N,1
87392,217.0,141.0,33:99,1_virtual,213.368771,138.99126,28862:15312:96588:76352:90504:36865:86092:12994:3036:13063:44679:21726:18575:3794:45973:24655:66563:96193:46833:58609:7570:67660:78331:13063:55636:15412:36978:65450:64657:9493:88207:90711:,1
44615,307.0,199.0,32:88,1_virtual,309.788537,205.727901,91320:51808:8814:61073:49611:51252:24489:37717:4275:28230:97604:30449:11539:49455:91570:78407:24261:80343:59252:50515:14184:52842:62107:68993:21846:58314:19251:93692:41247:75277:19041:33533:73248:26823:,1
51286,239.0,172.0,32:99,1_virtual,233.787602,176.484897,35476:45316:85098:86577:21883:88086:92530:20353:,1
8318,244.0,160.0,32:5:22,1_virtual,244.948061,162.320933,76787:38405:86107:92684:65030:81585:43566:24308:47723:35004:27561:38296:68417:68485:14413:20949:64144:61321:19005:30660:22259:70227:87446:25434:7600:90411:34424:44369:38325:13663:46187:18797:13370:67788:81433:30300:76093:83361:45421:43347:9749:8065:90701:7920:34169:83644:,1
92071,282.0,251.0,49:84,1_virtual,284.759421,248.20271,96804:,1
9356,248.0,228.0,32:101,1_virtual,259.282055,236.453814,64602:83843:,1
29250,302.0,174.0,88:22:95,1_virtual,302.782344,177.268189,15637:99310:23432:31610:78683:65714:5268:66464:24797:,1
11881,222.0,144.0,32:22,1_virtual,222.970679,147.009677,23835:1547:95999:83009:21942:48179:12823:18264:89014:74348:1790:85543:86628:43067:2565:70725:65149:6572:63686:77062:8008:23835:26067:4182:65536:77577:16917:71239:7113:63683:76579:21259:48841:67398:46921:38586:98510:4428:64636:62217:95501:46451:77537:92281:14288:88094:61067:9594:39003:29334:95981:58412:71851:17238:25739:34306:41950:83009:77089:39800:44934:55550:92266:15753:45092:94731:95981:67590:5229:80047:2905:5376:49872:77537:77194:,1
40323,307.0,225.0,88:101:5,1_virtual,303.034402,224.469712,96452:26608:89560:75568:81437:,1
95815,263.0,189.0,32:5,1_virtual,266.014574,190.375833,47773:37240:18363:75992:36710:85573:93095:4650:8566:38697:78048:69515:54562:59121:34064:5311:72572:60219:32457:83526:40883:9328:50860:98215:76233:86778:10965:2042:78147:92613:29393:43314:81529:43521:3218:29056:25635:20634:92025:17095:64792:73657:11741:91737:58545:60179:38493:43630:2978:55844:99510:88692:,1
51552,278.0,240.0,84:101:95,1_virtual,280.994605,236.462391,N,1
37558,291.0,209.0,49:99:95,1_virtual,288.446353,211.872477,7781:82732:13092:51531:90575:13914:2029:87902:50795:64066:63271:57587:17413:87886:,1
50132,307.0,221.0,49:5:95,1_virtual,303.034402,220.18588,30486:,1
90040,352.0,135.0,92:95,1_virtual,375.613182,149.886502,81957:60348:81957:17572:97678:21052:,1
67451,230.0,172.0,84:22,1_virtual,229.198362,168.632237,15714:34421:93701:,1
96372,217.0,155.0,32:33,1_virtual,218.561262,155.067329,54269:65437:66757:94142:95247:13325:30517:,1
4313,343.0,237.0,88:49,1_virtual,342.283863,235.228159,70694:81350:80467:,1
67331,261.0,216.0,32:5:101,1_virtual,261.914261,216.256375,76448:23714:3124:88109:78115:16780:81955:99204:,1
80124,290.0,169.0,88:5:22,1_virtual,293.251576,166.883131,5230:34943:45686:7251:93824:5276:6059:61107:51398:86576:4589:10924:80932:3141:95097:4529:68321:86427:19000:99925:72576:61107:80620:33989:89577:37373:36553:28383:79854:99649:20583:31948:53359:49148:51109:,1
63927,237.0,137.0,120:33,1_virtual,242.392363,134.597826,28802:37427:88505:80101:17869:89802:3597:54918:39297:97000:10411:41691:61380:33222:69964:53533:47113:20297:17263:64283:40991:78658:11542:17856:20592:5352:9982:7437:22754:19085:39297:8917:87659:34910:68218:37657:15136:17782:14505:87224:28466:5634:41155:77455:45053:76973:87400:19383:41118:14782:43026:69859:59957:63927:14553:3317:48558:,1
68566,255.0,255.0,84:101,1_virtual,252.303455,260.983072,68566:,1
73767,272.0,202.0,99:84:95,1_virtual,268.561728,205.911047,93295:64309:57511:86630:32575:93352:63610:93352:92457:4868:59246:38333:79273:33301:23152:38053:99077:12034:32575:,1
63790,297.0,247.0,49:101:95,1_virtual,295.44438,246.774766,N,1
30732,168.0,111.0,33:105,1_virtual,172.199352,111.307596,91636:59802:93128:54112:26653:81383:34736:95559:,1
