path,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
101->75205,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,287.395:193.229,273.541:183.542,263.170:177.010,253.540:169.247,244.948:162.321,250.837:157.263,256.201:151.742,259.065:147.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->79100,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,279.812:220.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->84,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->88,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,309.789:205.728,323.589:208.748,335.464:209.478,341.921:209.634,347.233:210.050,362.972:211.453,376.773:212.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->89653,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,299.242:195.278,302.353:188.697,304.946:184.788,306.078:181.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->9048,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,299.242:195.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->91297,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,277.165:234.213,280.995:236.462,284.216:236.645,290.842:240.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->92071,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,277.165:234.213,280.995:236.462,284.216:236.645,290.842:240.474,294.611:242.967,298.441:243.818,295.444:246.775,293.130:249.975,289.092:249.828,284.759:248.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->95,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,309.789:205.728,323.589:208.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->97999,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,294.565:214.523,297.421:215.607,299.489:219.408,303.034:220.186,303.034:224.470,301.553:226.935,304.068:229.591,313.670:231.954,318.762:234.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->99,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,287.395:193.229,273.541:183.542,263.170:177.010,253.540:169.247,244.948:162.321,239.844:158.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
