wifi,X,Y,parents,ID,restored_x,restored_y,children,activated
84484,293.0,221.0,84:54110,2_virtual,294.565218,214.523345,27828:59878:70110:92304:35539:94985:2228:97340:84973:34593:,1
98177,301.0,208.0,42520:52173,2_virtual,307.61367,210.781147,64169:91181:83124:14961:49351:88537:63019:10382:98583:17216:,1
17460,314.0,246.0,42520:49,2_virtual,319.322227,252.825245,N,1
87522,271.0,210.0,42520:33156:53486,2_virtual,271.616588,208.929101,55492:29092:10888:64512:,1
37695,272.0,201.0,52173:53486,2_virtual,268.561728,205.911047,19240:20056:9793:23025:55678:94999:37558:32708:,1
95389,239.0,131.0,120:31646,2_virtual,240.44936,129.275759,22081:,1
39495,320.0,242.0,88466:14868,2_virtual,326.68936,238.011887,41650:98588:49504:52163:,1
12054,293.0,198.0,22899:14868,2_virtual,295.831338,199.530488,96021:81629:42889:93939:37775:73093:35872:86448:42212:,1
16031,211.0,122.0,7033:22,2_virtual,211.571835,116.146512,3488:93841:,1
94898,364.0,173.0,88:55506,2_virtual,370.982585,179.261752,53525:76126:,1
29746,361.0,187.0,88:6210,2_virtual,367.109121,189.263226,33418:25702:70151:69309:,1
91527,375.0,175.0,55506:13,2_virtual,374.094277,172.594103,29692:,1
63112,335.0,172.0,55506:6210:58286,2_virtual,344.59524,175.541663,40173:63449:43884:,1
86811,225.0,163.0,33:81988,2_virtual,223.092671,167.893645,37955:88046:38366:39552:,1
28999,199.0,149.0,105:81988,2_virtual,200.588866,148.173807,N,1
44639,215.0,161.0,105:98213,2_virtual,215.656135,159.449639,25668:,1
23716,281.0,208.0,56713:81988:98213,2_virtual,280.748847,214.235562,57732:42621:,1
98564,289.0,218.0,56713:52711,2_virtual,285.440157,216.278109,84079:92294:80905:,1
4065,263.0,209.0,81988:43007,2_virtual,261.235835,210.021317,91333:4065:21778:,1
4411,282.0,216.0,5:52711,2_virtual,283.720998,215.043212,N,1
32267,276.0,166.0,120:40516:5,2_virtual,284.986256,152.807715,66699:99089:59797:14918:38805:5352:91779:68101:17806:,1
86606,221.0,123.0,31646:10197:23286,2_virtual,221.105013,119.973451,99285:92930:34437:22908:40298:,1
80763,269.0,260.0,33673:101,2_virtual,275.06577,264.682845,N,1
37992,249.0,200.0,22899:84,2_virtual,248.309855,201.032938,N,1
90007,216.0,148.0,74000:33,2_virtual,210.732191,148.124568,N,1
51020,249.0,196.0,65425:84,2_virtual,247.361031,193.392151,15680:38755:18843:11106:84184:45482:35062:,1
48493,184.0,111.0,105:33401,2_virtual,185.207478,118.609685,95636:18463:48088:81774:1347:92807:8996:74780:6669:26962:82790:,1
58487,200.0,125.0,42320:105,2_virtual,197.61645,127.353831,32235:93596:87341:42171:,1
40220,228.0,163.0,32:7033,2_virtual,232.021775,166.358449,20700:39574:69310:49410:,1
35419,361.0,159.0,16442:92:13,2_virtual,360.502469,163.990764,72202:,1
94436,272.0,199.0,2080:55554,2_virtual,265.933747,202.618602,19034:83201:9137:,1
5726,359.0,145.0,80417:92,2_virtual,373.073125,154.252225,34089:31429:38360:,1
29428,199.0,122.0,105:62658,2_virtual,198.865557,118.312894,45986:51880:18239:43861:2328:,1
21440,264.0,206.0,38584:61154,3_virtual,264.143375,205.369254,80208:,1
17314,272.0,213.0,49:45156,3_virtual,271.998577,212.799359,83714:,1
36455,214.0,144.0,33:45156,3_virtual,210.584473,143.939215,N,1
13028,367.0,194.0,63112:13,3_virtual,370.982585,196.327759,59190:,1
68028,210.0,159.0,43841:105,3_virtual,208.664134,160.582146,26686:78430:,1
57904,202.0,153.0,4065:105,3_virtual,204.429543,152.014483,N,1
77636,267.0,217.0,4065:60058,3_virtual,267.40628,218.259346,N,1
53872,275.0,223.0,43841:60058,3_virtual,272.510628,221.037662,N,1
34213,277.0,217.0,4065:97994,3_virtual,276.953019,219.280629,23721:31650:97853:56138:20112:58781:,1
57635,327.0,121.0,80051:92,3_virtual,374.253031,113.458403,59669:28348:,1
4296,202.0,134.0,105:61522,3_virtual,195.118954,131.074943,55635:,1
35721,352.0,139.0,92:63439,3_virtual,356.323282,163.797879,56466:21171:6435:41354:38038:93532:,1
